"","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"15",0,0,1,1,0,6,0,0,16,1,0,0,5,11,0,0,0,0,0,0,8,5,0,0,7,0,0,0,1,0,109,0,2,2,1,0,0,0,0,0,1,1,0,0,1,15,2,1,1,1,1,4,5,0,0,2,0,1,0,1,0,1,0,1,2,31,0,0,0,0,0,3,0,0,0,2,0,0,4,2,0,19,70,4,3,0,28,0,3,0,6,0,0,0,5,2,0,11,2,1,0,1,0,1,2,4,31,0,2,0,2,0,0,0,0,2,64,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,1,13,0,0,0,0,0,1,0,0,1,0,4,78,25,0,0,3,0,0,10,0,8,0,1,0,2,8,0,3,0,0,1,5,0,3,1,4,0,0,0,0,1,0,0,0,2,0,0,7,3,0,0,1,0,3,0,0,0,0,0,0,0,9,26,82,0,1,2,7,0,22,5,0,4,4,5,2,0,0
"16",0,0,0,1,0,1,0,1,21,1,0,0,0,4,0,0,3,0,2,0,6,7,0,0,2,0,0,2,2,1,67,1,0,0,2,1,0,0,0,2,1,0,1,0,0,10,15,3,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,7,29,0,1,0,0,1,1,0,0,1,0,4,2,2,0,5,5,67,0,17,1,4,0,3,0,7,2,0,9,0,0,1,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,7,74,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,17,0,0,0,0,0,0,1,0,0,1,1,68,29,0,0,6,0,12,0,0,0,0,1,0,0,31,0,4,0,0,0,5,1,1,0,2,3,0,0,0,1,0,5,10,1,1,1,14,2,0,0,1,2,9,0,2,0,0,1,0,0,3,27,70,0,1,3,2,0,30,6,1,1,2,2,0,0,0
"17",0,0,0,0,0,4,0,3,42,0,0,0,1,2,0,0,1,3,0,0,3,6,0,4,0,0,2,0,0,0,82,0,0,2,4,0,0,0,0,0,3,0,1,0,0,10,4,7,0,0,3,4,1,0,1,0,1,0,0,0,0,1,1,2,2,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,68,1,9,0,2,0,11,0,3,0,0,3,1,0,0,0,1,0,0,0,1,3,1,0,4,2,2,1,2,0,0,0,2,5,66,0,3,2,0,0,1,4,0,0,1,0,1,4,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,0,63,4,0,0,2,6,27,0,0,3,0,1,0,1,14,0,7,1,0,0,1,0,0,3,0,1,0,0,2,0,2,8,3,0,3,1,2,2,0,0,0,0,11,0,0,0,0,2,0,0,2,41,69,0,0,0,0,0,5,0,0,2,4,0,1,0,1
"18",0,0,0,0,0,0,0,1,9,1,0,0,0,1,0,0,8,0,1,0,0,0,7,0,0,0,0,1,5,0,59,0,0,0,0,0,3,0,0,0,0,3,1,5,2,0,2,4,2,2,0,0,1,0,0,0,0,6,0,0,0,2,1,3,7,39,1,0,0,0,0,1,1,1,2,0,2,1,0,0,1,0,78,1,1,0,4,0,6,0,6,0,5,0,1,1,0,1,0,0,0,0,5,1,0,0,5,0,4,7,0,0,0,0,6,4,78,1,0,0,0,1,0,7,0,0,4,0,0,0,1,0,0,1,0,0,0,26,0,0,1,0,0,0,0,1,0,0,0,66,0,0,0,21,1,3,0,0,3,0,0,0,3,0,0,10,0,2,0,1,1,0,0,0,0,0,0,2,1,0,7,0,0,0,0,7,5,0,0,2,0,9,0,0,0,0,0,0,0,3,31,88,0,3,0,0,1,0,3,2,2,1,2,1,0,1
"19",0,0,1,0,2,3,0,1,11,0,0,0,0,10,0,0,3,0,0,0,2,3,1,0,3,0,0,0,2,0,87,6,0,0,1,0,0,0,0,0,0,3,0,0,9,8,5,8,2,0,0,0,5,0,0,1,0,0,1,0,0,3,1,1,9,45,0,1,0,0,0,0,0,0,4,0,0,3,0,0,5,4,86,0,3,0,5,0,7,0,23,1,0,0,5,0,1,0,0,0,0,0,0,3,0,1,4,0,2,1,1,2,3,1,3,1,72,0,3,0,0,1,0,0,1,3,0,0,0,0,0,0,0,2,0,1,3,30,1,1,0,0,0,0,1,0,0,2,1,64,6,0,0,17,6,7,0,3,8,0,0,0,0,3,0,2,0,0,0,6,0,2,0,2,0,1,1,0,0,2,10,3,0,0,0,9,2,0,1,0,0,11,1,0,0,0,1,2,0,0,52,61,0,1,0,2,0,11,1,0,1,3,0,1,0,0
"20",0,1,0,0,2,4,0,0,9,0,0,0,2,8,2,0,0,0,0,0,2,0,0,0,4,0,0,2,4,0,74,1,1,0,4,0,1,0,1,0,2,0,3,0,0,18,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,1,26,0,0,0,0,1,8,0,0,0,1,0,3,1,1,5,8,72,4,9,0,6,0,4,1,11,0,5,0,2,6,0,6,2,0,0,2,0,1,1,0,10,0,2,1,2,0,1,0,1,1,66,0,5,1,0,0,0,10,1,1,1,1,0,1,0,1,0,1,1,4,5,20,1,0,0,0,0,1,1,1,0,0,1,82,18,0,0,1,3,0,5,0,15,0,1,1,2,10,0,5,0,1,0,18,1,0,0,11,1,0,1,0,3,1,3,0,0,0,3,12,5,0,0,2,0,5,0,0,0,0,0,0,0,6,37,64,0,0,1,10,1,14,6,0,2,3,4,2,0,0
"21",0,0,0,0,0,2,0,1,12,0,4,0,0,2,0,5,2,2,0,0,1,3,4,2,0,0,0,0,0,0,73,3,0,4,2,0,1,0,0,0,2,0,1,1,0,3,14,0,1,0,0,2,4,0,0,0,8,0,0,0,0,0,2,2,1,20,0,0,0,0,0,0,0,1,2,0,1,4,1,1,11,4,80,0,6,1,3,1,3,0,17,0,0,0,0,0,0,1,1,1,0,0,2,1,0,1,4,0,5,0,0,0,0,0,0,9,70,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,10,14,0,0,1,0,0,0,0,0,0,1,0,75,52,0,1,3,0,10,3,0,8,0,0,0,0,14,0,1,0,0,0,5,0,0,0,7,1,0,0,0,1,0,3,2,3,0,4,5,1,0,0,0,1,4,0,0,0,0,0,0,0,0,20,63,2,0,1,2,2,13,8,0,16,5,2,0,0,0
"22",0,1,0,3,0,4,0,6,25,0,0,4,0,7,0,0,6,1,1,0,0,6,1,1,0,0,0,0,3,0,64,0,0,3,1,0,0,0,0,0,0,0,3,0,0,3,4,12,0,0,1,0,0,0,0,0,6,1,1,0,4,1,0,0,5,45,0,0,2,1,0,0,0,0,2,0,0,3,0,1,3,4,84,0,11,0,3,0,10,0,5,0,3,1,4,0,0,3,0,0,1,0,0,5,0,0,11,1,0,0,0,0,2,0,1,5,68,0,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,19,1,0,0,1,0,0,0,2,0,0,0,79,5,0,0,2,0,17,0,3,4,0,0,0,0,15,0,14,0,0,1,5,0,0,0,0,0,0,0,0,0,0,10,3,0,7,0,13,1,0,0,0,0,11,0,0,0,0,1,0,1,2,51,56,1,1,0,2,0,9,2,0,0,1,1,1,0,0
"23",0,1,0,0,0,1,0,0,6,0,1,3,0,2,0,0,20,0,1,2,0,2,1,0,3,1,0,1,2,0,106,3,0,1,1,0,1,0,1,0,0,1,0,0,0,3,6,1,1,0,0,1,0,0,0,2,0,4,1,0,1,4,0,2,3,27,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,1,66,0,2,0,10,0,3,0,10,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,3,3,5,64,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,1,69,1,0,0,2,0,0,0,3,4,0,0,1,5,3,1,1,0,0,0,3,0,0,1,3,1,0,0,3,3,0,1,5,0,0,3,4,0,0,0,8,0,8,3,0,1,0,0,1,0,2,28,76,0,2,1,0,0,13,3,0,0,0,0,0,0,0
"24",0,0,0,2,0,0,0,2,9,1,0,4,0,10,0,0,7,0,0,0,13,5,1,0,0,1,0,2,1,0,71,0,0,2,3,0,3,0,0,0,2,0,0,0,0,3,5,0,0,0,0,0,7,0,1,0,0,0,0,2,1,0,0,1,1,22,0,0,0,0,0,0,0,1,1,0,0,4,0,0,10,6,63,2,6,0,8,0,9,0,15,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,5,2,75,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,1,14,0,0,0,0,0,1,5,0,0,2,0,79,6,0,1,2,1,7,1,2,5,0,0,0,0,9,0,3,0,3,0,5,1,1,0,6,0,1,0,0,2,0,5,0,1,0,0,9,3,0,0,0,0,14,0,4,0,0,1,0,0,0,45,71,1,2,1,7,0,9,1,0,0,0,0,0,0,0
"25",0,0,0,0,3,4,0,1,24,0,1,0,0,8,1,5,17,0,4,0,2,2,0,1,4,0,0,0,3,2,68,3,0,3,0,0,0,0,0,0,0,1,3,1,0,2,5,0,0,0,0,0,9,0,1,0,1,0,0,0,1,4,2,0,3,29,0,0,0,0,0,2,0,2,4,1,0,3,1,1,7,1,82,2,17,1,0,0,1,0,31,0,2,0,0,0,0,2,0,0,0,0,1,2,0,0,5,4,0,0,1,0,0,0,5,3,76,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,3,1,21,0,0,0,0,0,0,2,1,0,3,1,77,2,2,0,14,0,3,5,1,9,0,0,0,4,30,0,5,0,2,0,11,0,0,1,5,0,0,14,0,1,0,3,2,2,0,0,5,3,1,0,2,4,3,0,1,0,0,0,0,2,6,33,76,0,1,0,3,0,13,4,0,0,7,6,1,0,0
"26",0,0,0,0,0,2,0,0,3,0,0,1,0,10,1,0,1,0,3,0,2,2,0,0,1,2,0,2,3,2,76,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,0,0,0,0,0,0,0,0,1,9,0,0,2,0,2,1,0,0,33,0,0,0,0,0,0,0,0,2,0,1,2,2,0,5,16,69,0,5,0,5,2,3,0,29,9,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,77,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,7,3,0,6,76,19,0,0,3,0,9,5,0,8,0,1,0,0,21,0,7,0,0,0,5,0,0,3,1,0,0,0,0,0,2,3,3,0,0,1,4,4,0,1,0,8,3,0,0,0,0,0,0,0,3,17,67,0,0,0,6,1,21,8,0,19,1,4,1,0,0
"27",0,0,0,2,3,3,0,4,24,0,0,0,0,3,1,1,9,0,1,0,2,4,0,2,0,1,0,3,0,1,77,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,11,4,0,3,0,3,1,0,0,0,7,0,0,0,1,0,0,2,4,48,0,0,0,0,0,0,0,0,1,1,0,3,0,0,9,4,82,0,2,0,3,0,1,0,6,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,3,2,2,0,0,0,0,0,3,0,75,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,65,5,1,0,4,3,8,1,1,4,0,0,0,1,23,0,6,0,2,0,15,1,0,0,0,1,4,0,0,0,0,12,5,0,1,0,7,0,0,0,0,9,8,0,0,0,0,1,0,0,1,14,71,0,2,8,0,0,16,3,1,5,5,1,2,0,0
"28",0,0,1,0,1,3,0,0,13,0,2,0,0,6,0,4,4,0,0,0,2,6,0,0,1,0,0,0,6,1,88,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,6,1,0,0,1,0,1,0,1,6,1,0,0,0,0,0,0,0,5,57,0,0,0,0,0,0,0,0,5,0,0,1,3,0,4,4,84,2,6,0,0,0,2,0,8,3,2,3,0,1,0,3,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,2,0,78,0,2,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,8,4,81,1,0,0,1,0,6,2,1,1,1,0,0,4,31,0,5,1,1,0,11,0,0,0,0,0,1,0,0,0,0,6,1,1,10,2,3,14,0,0,0,0,5,0,0,0,0,1,4,0,0,52,67,0,0,0,0,0,15,3,0,0,0,0,0,0,1
"29",0,0,0,0,0,2,0,0,14,0,1,0,0,6,1,1,0,0,0,0,16,3,2,0,0,0,0,0,3,0,76,1,1,1,0,0,0,0,0,0,2,0,0,0,2,3,5,0,2,0,0,2,4,0,0,0,9,0,0,0,0,1,1,0,3,45,1,0,0,0,0,0,0,0,3,1,1,2,5,1,5,3,65,0,9,2,2,1,7,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,0,3,68,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,1,1,0,0,0,0,0,74,2,0,0,2,1,20,1,3,10,0,0,1,3,8,0,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,8,3,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,1,0,0,39,74,0,0,4,6,0,8,0,0,0,3,0,0,0,0
"30",0,0,0,15,3,4,0,0,35,0,0,5,0,5,3,0,3,1,0,0,3,4,0,1,0,1,0,3,1,1,78,0,0,2,0,0,0,0,1,1,0,0,0,0,1,4,0,3,2,0,0,3,2,0,0,0,2,0,2,0,0,4,0,1,1,56,0,0,0,0,1,0,0,0,1,0,0,1,3,0,4,1,61,8,35,0,16,0,1,0,6,2,0,1,0,0,3,3,0,0,0,1,0,2,4,1,1,0,2,0,0,0,0,0,1,7,77,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,0,2,2,0,0,8,0,0,0,0,8,0,0,0,0,0,1,70,6,0,0,3,0,11,6,1,10,1,0,0,5,9,0,3,1,0,0,6,0,2,1,0,0,0,0,0,2,1,2,0,0,8,2,21,0,0,1,0,0,4,0,0,0,0,0,0,0,5,36,60,0,3,1,2,0,5,6,0,0,2,0,7,0,0
"31",0,0,0,4,1,6,0,0,12,0,0,0,0,2,0,0,7,2,3,0,4,2,2,0,2,0,0,0,0,1,60,0,2,0,1,0,1,1,0,0,0,0,1,0,6,0,6,1,0,0,0,1,0,0,3,0,15,0,0,0,0,0,0,0,2,32,1,0,3,0,0,0,0,0,0,0,0,4,0,0,10,9,66,0,0,0,4,0,8,0,20,4,2,0,0,0,0,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,1,0,1,71,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,37,6,0,0,1,0,0,0,0,3,0,1,0,43,34,0,0,5,0,2,2,0,12,0,0,0,0,27,0,4,0,0,0,7,0,1,1,9,0,0,0,0,1,0,0,1,0,0,2,2,5,0,1,2,10,4,0,0,0,0,1,0,0,1,22,58,1,0,0,3,3,16,5,0,23,0,1,1,0,0
"32",2,0,0,6,0,5,0,1,16,1,1,0,0,3,0,1,4,0,0,0,5,7,0,0,1,1,1,0,1,0,63,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,10,0,1,0,0,2,0,0,3,55,0,0,0,0,0,0,0,1,2,0,0,0,3,0,16,6,73,3,6,0,11,0,2,0,5,10,0,1,0,2,0,0,3,0,0,2,1,1,0,0,2,1,0,0,0,0,0,0,4,1,74,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,6,0,0,0,0,0,2,0,2,0,2,0,74,1,0,0,4,0,1,3,0,5,0,0,0,3,24,0,27,0,0,0,5,0,0,1,0,2,2,0,0,0,5,5,1,0,0,0,1,1,1,0,0,5,5,0,2,0,0,0,0,0,4,39,80,0,4,0,5,0,17,5,0,3,3,0,2,0,0
"33",0,1,0,6,0,2,0,2,22,0,0,4,0,7,1,2,15,2,0,0,3,4,0,0,1,0,1,0,0,6,72,0,2,1,1,0,0,0,0,1,1,1,5,0,0,4,7,1,1,0,0,0,3,0,0,0,1,0,0,0,0,3,0,2,6,60,0,2,0,0,0,0,0,0,0,0,0,5,4,1,29,2,69,0,6,0,2,0,7,0,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,7,4,0,0,0,0,0,0,0,1,76,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,73,6,0,0,4,3,9,0,0,10,0,0,1,0,23,0,16,0,3,0,3,1,0,1,0,0,0,0,0,0,0,17,5,0,0,8,4,2,1,1,1,0,0,0,0,0,0,0,0,0,2,31,68,1,2,2,5,0,20,0,0,9,3,0,1,0,0
"34",0,4,0,2,0,6,0,1,45,0,0,0,0,4,1,0,4,4,0,1,5,4,0,4,12,0,0,2,2,1,78,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,5,0,0,1,1,0,1,0,1,1,1,0,0,0,0,7,0,5,8,42,1,0,0,1,0,1,1,0,2,2,0,0,5,0,14,0,79,2,25,0,0,0,3,0,3,6,0,0,0,1,0,0,2,0,0,2,0,2,0,0,3,0,2,0,0,0,0,0,0,0,77,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,1,8,0,1,0,2,0,0,1,1,0,5,0,72,0,0,0,2,0,10,3,6,6,0,0,0,2,18,0,4,0,0,0,5,0,0,1,0,0,0,0,0,0,0,9,2,0,0,0,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,29,69,0,0,2,1,0,6,1,0,0,0,0,7,0,0
"35",1,0,0,4,0,6,0,0,78,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,4,0,0,3,0,4,54,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,7,2,0,0,0,1,0,0,0,0,2,0,0,0,4,2,0,0,11,31,0,0,0,0,0,0,0,3,2,0,0,1,0,0,3,0,105,4,268,0,10,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,2,4,1,1,0,0,0,0,0,2,0,60,2,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,2,0,0,0,0,1,1,0,0,1,71,0,0,0,3,0,4,0,0,0,1,0,0,2,16,0,7,0,0,0,1,0,0,0,1,3,0,0,0,0,0,5,0,0,2,0,1,4,0,0,4,0,3,0,0,0,0,0,0,0,0,27,71,0,0,0,0,0,13,0,0,0,2,0,0,0,0
"36",0,0,0,0,1,4,0,0,7,0,1,0,1,5,0,7,1,0,0,1,2,3,0,1,6,0,0,3,0,0,71,0,1,2,0,0,0,0,0,1,2,0,2,1,0,10,11,0,1,2,0,1,0,0,1,2,48,0,0,2,0,3,0,3,0,37,0,0,0,0,0,0,0,0,0,0,3,0,1,0,13,6,77,1,0,1,3,2,1,0,22,1,1,0,0,3,0,1,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,4,67,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,8,31,0,0,0,0,0,1,0,4,1,0,0,81,15,0,0,2,1,0,3,2,5,1,0,0,0,9,0,3,1,0,1,16,0,0,5,1,0,0,0,0,2,0,0,3,0,0,1,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,31,75,0,1,1,10,2,16,5,0,18,1,2,0,0,0
"37",0,0,0,3,0,3,0,0,11,0,0,0,1,4,0,5,3,0,0,0,2,5,3,1,4,0,0,1,3,1,81,0,1,0,0,1,0,0,0,0,1,0,0,0,12,3,22,0,1,1,0,0,0,0,0,1,13,0,0,0,0,4,0,0,5,56,1,0,0,0,0,0,0,2,0,0,0,0,1,1,21,1,86,0,4,1,3,0,9,0,9,3,4,2,0,5,1,1,0,1,1,0,0,4,0,0,5,0,0,0,0,0,0,0,0,2,86,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,3,0,1,0,67,9,1,0,1,1,0,2,0,8,1,0,0,3,20,0,1,0,0,0,8,0,3,1,0,0,0,0,0,1,3,7,2,0,0,3,0,1,0,0,0,0,12,0,0,0,0,1,0,0,1,27,64,0,0,7,13,2,22,6,0,2,8,0,4,0,0
"38",0,0,2,4,0,4,0,2,24,0,1,0,2,2,0,4,0,0,2,0,9,12,0,0,0,0,0,0,3,2,83,0,0,1,1,0,0,0,0,0,0,0,1,0,3,3,8,0,2,0,1,0,3,1,2,0,16,0,0,0,0,5,0,0,5,86,1,0,0,0,0,1,0,0,1,0,0,2,4,0,8,1,67,2,8,0,2,0,20,0,3,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,80,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,8,0,0,0,0,0,0,0,0,0,1,0,48,3,0,0,5,0,8,2,0,10,0,0,0,5,22,0,6,0,0,0,4,0,0,2,1,0,0,0,0,1,0,14,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,64,94,0,0,0,3,0,12,0,0,2,2,2,0,0,0
"39",0,0,0,5,0,2,0,4,28,0,0,0,0,1,0,3,0,3,1,0,6,6,0,0,2,0,0,4,0,2,96,0,0,0,2,0,0,0,1,1,3,0,1,0,1,1,12,0,0,0,0,0,0,3,0,1,1,1,1,0,0,1,0,2,4,42,3,0,0,0,0,0,0,0,7,0,1,2,0,4,8,1,70,2,17,0,1,0,12,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,79,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,3,1,4,0,0,0,0,1,0,0,0,0,69,2,0,0,2,0,7,0,0,15,0,1,1,1,22,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,4,0,0,4,2,1,0,0,0,0,2,0,0,0,0,1,2,0,0,78,67,0,0,1,1,0,10,3,0,0,1,0,1,0,0
"40",0,2,0,6,0,2,0,0,72,0,6,0,1,7,0,4,3,2,0,0,2,9,2,3,5,0,0,1,0,3,79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,3,46,0,0,0,0,1,0,0,1,7,0,0,5,4,0,9,6,67,3,70,1,3,0,0,0,7,6,0,0,0,3,0,9,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,51,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,62,1,0,0,6,0,1,1,0,11,0,0,0,0,18,1,10,0,0,1,2,0,0,0,0,0,1,0,1,4,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,3,101,78,0,2,0,0,0,12,0,0,0,0,0,1,0,0
