"record","study","author","environment","method","spn","planttype","nreps","p","meanbase","meancon","effsz","stderr","lb","ub","sig"
31,"10","W","arid","a",3,"dicot",5,0.01068,1.186,1.602,0.417,0.109,0.143,0.691,TRUE
32,"10","W","arid","a",4,"monocot",5,0.32381,1.308,1.555,0.247,0.227,-0.33,0.824,FALSE
33,"10","W","arid","a",5,"dicot",5,0.25145,1.696,1.997,0.301,0.233,-0.292,0.893,FALSE
34,"11","Y","heath","a",1,"dicot",10,0.3835,1.611,1.478,-0.133,0.148,-0.446,0.18,FALSE
35,"11","Y","heath","a",2,"dicot",10,0.16784,1.586,1.793,0.207,0.143,-0.096,0.51,FALSE
36,"11","Y","heath","a",3,"monocot",10,0.13046,1.539,1.754,0.215,0.135,-0.07,0.5,FALSE
37,"12","L","arid","a",1,"monocot",6,0.11816,1.387,1.761,0.374,0.212,-0.12,0.868,FALSE
38,"12","L","arid","a",2,"dicot",6,0.00987,1.626,2.144,0.518,0.163,0.155,0.881,TRUE
39,"12","L","arid","a",3,"dicot",6,0.01189,1.178,1.586,0.409,0.13,0.114,0.703,TRUE
40,"13","C","grassland","d",1,"monocot",23,1e-05,1.381,1.862,0.481,0.09,0.297,0.664,TRUE
41,"13","C","grassland","d",2,"monocot",23,0,1.5,2.005,0.504,0.09,0.322,0.686,TRUE
42,"13","C","grassland","d",3,"monocot",23,3e-05,1.522,1.881,0.359,0.078,0.203,0.515,TRUE
43,"14","T","arid","d",1,"monocot",9,0.00282,1.495,2.033,0.538,0.148,0.22,0.856,TRUE
44,"14","T","arid","d",2,"dicot",9,0.0014,1.5,2.068,0.569,0.143,0.262,0.875,TRUE
45,"14","T","arid","d",3,"monocot",9,0.00056,1.245,1.845,0.6,0.137,0.308,0.892,TRUE
46,"14","T","arid","d",4,"dicot",9,8e-05,1.594,2.124,0.531,0.101,0.316,0.745,TRUE
47,"15","I","forest","a",1,"dicot",10,0.57215,1.686,1.779,0.092,0.161,-0.245,0.43,FALSE
48,"15","I","forest","a",2,"dicot",10,0.24576,1.339,1.464,0.125,0.104,-0.095,0.344,FALSE
49,"15","I","forest","a",3,"dicot",10,0.23565,1.333,1.527,0.194,0.156,-0.143,0.53,FALSE
50,"16","P","grassland","b",1,"monocot",9,0.50529,1.571,1.659,0.088,0.13,-0.187,0.363,FALSE
51,"16","P","grassland","b",2,"monocot",9,0.77177,1.46,1.499,0.039,0.132,-0.243,0.321,FALSE
52,"16","P","grassland","b",3,"monocot",9,0.59394,1.436,1.509,0.073,0.134,-0.21,0.356,FALSE
53,"16","P","grassland","b",4,"monocot",9,0.79075,1.555,1.589,0.034,0.125,-0.236,0.304,FALSE
54,"16","P","grassland","b",5,"dicot",9,0.09414,1.656,1.969,0.313,0.176,-0.06,0.686,FALSE
55,"17","I","heath","d",1,"monocot",15,0,1.607,2.968,1.361,0.165,1.017,1.705,TRUE
56,"18","W","forest","c",1,"monocot",5,0.66615,1.156,1.121,-0.035,0.077,-0.22,0.15,FALSE
57,"18","W","forest","c",2,"monocot",5,0.70146,1.3,1.247,-0.052,0.131,-0.356,0.252,FALSE
58,"18","W","forest","c",3,"dicot",5,0.14861,1.49,1.235,-0.255,0.158,-0.625,0.115,FALSE
59,"19","D","arid","c",1,"monocot",7,0.24034,1.731,1.504,-0.227,0.183,-0.63,0.176,FALSE
60,"19","D","arid","c",2,"monocot",7,0.36346,1.523,1.657,0.134,0.141,-0.178,0.445,FALSE
61,"19","D","arid","c",3,"monocot",7,0.56165,1.304,1.384,0.08,0.134,-0.216,0.377,FALSE
62,"19","D","arid","c",4,"monocot",7,0.92994,1.934,1.913,-0.02,0.228,-0.518,0.477,FALSE
63,"20","U","heath","d",1,"dicot",11,0.00449,1.69,2.34,0.65,0.203,0.227,1.073,TRUE
64,"20","U","heath","d",2,"monocot",11,0,1.673,2.735,1.062,0.142,0.766,1.358,TRUE
65,"20","U","heath","d",3,"dicot",11,7e-05,1.471,2.395,0.923,0.172,0.558,1.289,TRUE
66,"21","X","forest","d",1,"monocot",10,0.00128,1.146,1.594,0.448,0.108,0.213,0.683,TRUE
67,"22","K","heath","b",1,"monocot",11,0.00097,1.527,2.377,0.85,0.2,0.418,1.282,TRUE
68,"22","K","heath","b",2,"dicot",11,0.11721,1.648,1.976,0.328,0.2,-0.09,0.746,FALSE
69,"22","K","heath","b",3,"dicot",11,0.14128,1.5,1.692,0.192,0.125,-0.07,0.454,FALSE
70,"22","K","heath","b",4,"dicot",11,0.02151,1.293,1.523,0.23,0.092,0.038,0.423,TRUE
71,"23","L","grassland","c",1,"dicot",14,0.01972,1.531,1.321,-0.21,0.085,-0.384,-0.036,TRUE
72,"24","F","heath","c",1,"dicot",15,0.01064,1.419,1.155,-0.265,0.097,-0.463,-0.067,TRUE
73,"25","Y","arid","b",1,"dicot",15,0.02668,1.203,1.424,0.221,0.094,0.028,0.414,TRUE
74,"25","Y","arid","b",2,"monocot",15,0.13321,1.416,1.574,0.158,0.102,-0.051,0.367,FALSE
75,"25","Y","arid","b",3,"dicot",15,0.57374,1.543,1.623,0.08,0.14,-0.208,0.367,FALSE
76,"25","Y","arid","b",4,"dicot",15,0.51458,1.752,1.833,0.081,0.123,-0.171,0.333,FALSE
77,"26","S","grassland","d",1,"monocot",14,0,1.435,2.403,0.967,0.154,0.649,1.285,TRUE
78,"26","S","grassland","d",2,"monocot",14,7e-05,1.457,2.008,0.551,0.117,0.311,0.791,TRUE
79,"26","S","grassland","d",3,"dicot",14,1e-05,1.59,2.709,1.119,0.187,0.729,1.509,TRUE
80,"26","S","grassland","d",4,"dicot",14,0.00045,1.739,2.516,0.777,0.187,0.388,1.167,TRUE
81,"27","Y","arid","b",1,"dicot",12,0.00045,1.223,1.778,0.554,0.128,0.285,0.824,TRUE
82,"27","Y","arid","b",2,"monocot",12,0,1.367,2.066,0.699,0.087,0.519,0.88,TRUE
83,"27","Y","arid","b",3,"dicot",12,0.02758,1.554,1.967,0.413,0.174,0.05,0.776,TRUE
84,"27","Y","arid","b",4,"monocot",12,0.00078,1.383,1.996,0.613,0.153,0.292,0.934,TRUE
85,"28","H","grassland","d",1,"monocot",9,0.00119,1.496,2.102,0.606,0.138,0.3,0.912,TRUE
86,"28","H","grassland","d",2,"monocot",9,4e-04,1.312,2.032,0.72,0.145,0.402,1.037,TRUE
87,"29","I","grassland","a",1,"monocot",14,0.03103,1.584,1.984,0.399,0.174,0.04,0.759,TRUE
88,"30","H","arid","b",1,"dicot",17,0.01071,1.684,1.989,0.304,0.112,0.076,0.533,TRUE
89,"30","H","arid","b",2,"monocot",17,0,1.362,1.931,0.569,0.087,0.389,0.749,TRUE
90,"30","H","arid","b",3,"dicot",17,0.04411,1.553,1.811,0.259,0.122,0.007,0.51,TRUE
91,"30","H","arid","b",4,"dicot",17,0.04933,1.613,1.862,0.249,0.122,0.001,0.497,TRUE
92,"30","H","arid","b",5,"dicot",17,0.01828,1.261,1.521,0.261,0.105,0.047,0.474,TRUE
93,"31","W","grassland","a",1,"monocot",10,0.01434,1.735,2.3,0.564,0.205,0.129,1,TRUE
94,"31","W","grassland","a",2,"dicot",10,0.00094,1.31,1.845,0.536,0.135,0.251,0.82,TRUE
95,"32","V","arid","b",1,"monocot",9,0.16614,1.653,1.965,0.311,0.213,-0.146,0.768,FALSE
96,"33","J","grassland","c",1,"monocot",19,0.57926,1.209,1.247,0.038,0.067,-0.099,0.174,FALSE
97,"34","D","grassland","d",1,"dicot",14,1e-05,1.383,2.096,0.713,0.12,0.463,0.964,TRUE
98,"34","D","grassland","d",2,"dicot",14,1e-05,1.258,1.858,0.6,0.101,0.387,0.813,TRUE
99,"34","D","grassland","d",3,"dicot",14,3e-05,1.656,2.362,0.705,0.13,0.434,0.976,TRUE
100,"35","E","grassland","a",1,"dicot",19,0.03174,1.637,1.857,0.22,0.098,0.02,0.419,TRUE
101,"35","E","grassland","a",2,"dicot",19,0.22355,1.712,1.874,0.162,0.13,-0.104,0.427,FALSE
102,"35","E","grassland","a",3,"dicot",19,0.85418,1.468,1.488,0.02,0.106,-0.197,0.236,FALSE
103,"35","E","grassland","a",4,"dicot",19,0.09632,1.429,1.615,0.186,0.109,-0.035,0.408,FALSE
104,"36","J","arid","d",1,"monocot",14,0.00215,1.603,2.239,0.636,0.182,0.258,1.014,TRUE
105,"36","J","arid","d",2,"dicot",14,3e-04,1.476,2.038,0.563,0.134,0.286,0.839,TRUE
106,"36","J","arid","d",3,"dicot",14,0.04813,1.716,2.11,0.394,0.189,0.004,0.785,TRUE
107,"36","J","arid","d",4,"monocot",14,1e-05,1.506,2.098,0.592,0.111,0.364,0.82,TRUE
108,"36","J","arid","d",5,"dicot",14,0.24513,1.653,1.818,0.165,0.139,-0.121,0.451,FALSE
109,"37","L","arid","a",1,"dicot",12,0.0337,1.204,1.432,0.228,0.099,0.02,0.435,TRUE
110,"37","L","arid","a",2,"dicot",12,0.00058,1.45,1.994,0.544,0.13,0.27,0.818,TRUE
111,"37","L","arid","a",3,"dicot",12,0.00905,1.394,1.818,0.424,0.144,0.12,0.728,TRUE
112,"37","L","arid","a",4,"dicot",12,0.94793,1.871,1.883,0.012,0.186,-0.376,0.401,FALSE
113,"38","U","grassland","a",1,"dicot",5,0.82098,1.658,1.597,-0.061,0.26,-0.663,0.541,FALSE
114,"38","U","grassland","a",2,"dicot",5,0.71223,1.269,1.426,0.157,0.409,-0.812,1.127,FALSE
115,"39","B","arid","b",1,"monocot",17,0.00043,1.617,2.108,0.491,0.124,0.237,0.744,TRUE
116,"39","B","arid","b",2,"dicot",17,0.00714,1.517,1.793,0.276,0.096,0.081,0.472,TRUE
117,"40","H","grassland","a",1,"monocot",11,0.00832,1.56,2.135,0.575,0.193,0.169,0.982,TRUE
118,"40","H","grassland","a",2,"dicot",11,0.00097,1.346,1.751,0.404,0.104,0.187,0.622,TRUE
119,"40","H","grassland","a",3,"monocot",11,0.09721,1.577,1.844,0.267,0.152,-0.054,0.588,FALSE
120,"40","H","grassland","a",4,"monocot",11,1e-05,1.633,2.465,0.832,0.137,0.545,1.118,TRUE
121,"40","H","grassland","a",5,"monocot",11,0.00028,1.625,2.541,0.916,0.195,0.502,1.331,TRUE
122,"41","G","grassland","c",1,"monocot",11,0.34759,1.4,1.527,0.128,0.133,-0.149,0.404,FALSE
123,"41","G","grassland","c",2,"dicot",11,0.03077,1.339,1.124,-0.215,0.092,-0.408,-0.022,TRUE
124,"42","E","forest","d",1,"dicot",18,0.00035,1.309,1.669,0.36,0.09,0.177,0.544,TRUE
125,"42","E","forest","d",2,"dicot",18,0,1.375,2.074,0.699,0.116,0.461,0.936,TRUE
126,"42","E","forest","d",3,"dicot",18,5e-05,1.409,1.804,0.395,0.085,0.222,0.568,TRUE
127,"42","E","forest","d",4,"dicot",18,0.00057,1.633,2.163,0.531,0.135,0.253,0.808,TRUE
128,"43","N","heath","b",1,"monocot",21,0,1.407,2.118,0.712,0.103,0.503,0.92,TRUE
129,"43","N","heath","b",2,"monocot",21,0.00026,1.327,1.753,0.427,0.106,0.213,0.641,TRUE
130,"44","V","forest","a",1,"monocot",9,0.14374,1.335,1.184,-0.151,0.098,-0.359,0.057,FALSE
131,"44","V","forest","a",2,"monocot",9,0.73523,1.219,1.249,0.03,0.088,-0.159,0.22,FALSE
132,"44","V","forest","a",3,"dicot",9,0.50251,1.534,1.44,-0.094,0.135,-0.393,0.205,FALSE
133,"44","V","forest","a",4,"monocot",9,0.89824,1.642,1.626,-0.016,0.125,-0.283,0.25,FALSE
134,"44","V","forest","a",5,"dicot",9,0.28378,1.822,1.677,-0.146,0.131,-0.425,0.133,FALSE
135,"45","F","grassland","a",1,"dicot",11,0.0029,1.181,1.539,0.358,0.103,0.14,0.576,TRUE
136,"45","F","grassland","a",2,"dicot",11,0.09,1.39,1.623,0.234,0.131,-0.04,0.508,FALSE
137,"45","F","grassland","a",3,"monocot",11,0.00647,1.469,1.947,0.479,0.155,0.152,0.805,TRUE
138,"46","R","grassland","b",1,"dicot",19,0.92163,1.586,1.577,-0.009,0.093,-0.199,0.18,FALSE
139,"46","R","grassland","b",2,"monocot",19,0.70022,1.536,1.492,-0.044,0.112,-0.272,0.184,FALSE
140,"46","R","grassland","b",3,"dicot",19,0.10886,1.358,1.503,0.145,0.088,-0.034,0.324,FALSE
141,"46","R","grassland","b",4,"dicot",19,0.9433,1.314,1.32,0.006,0.081,-0.159,0.171,FALSE
142,"47","J","forest","d",1,"monocot",7,0.00236,1.229,1.399,0.17,0.044,0.074,0.267,TRUE
143,"48","Q","forest","d",1,"monocot",6,0.00062,1.454,2.175,0.721,0.143,0.4,1.043,TRUE
144,"48","Q","forest","d",2,"monocot",6,0.07592,1.303,1.656,0.352,0.176,-0.045,0.75,FALSE
145,"48","Q","forest","d",3,"monocot",6,0.8263,1.55,1.597,0.047,0.207,-0.417,0.51,FALSE
146,"48","Q","forest","d",4,"dicot",6,0.04468,1.32,1.696,0.376,0.164,0.011,0.741,TRUE
147,"48","Q","forest","d",5,"monocot",6,0.02394,1.333,1.995,0.663,0.215,0.126,1.199,TRUE
148,"49","Y","heath","c",1,"dicot",14,0.93396,1.43,1.419,-0.011,0.132,-0.283,0.26,FALSE
149,"49","Y","heath","c",2,"monocot",14,0.15387,1.608,1.814,0.206,0.14,-0.082,0.495,FALSE
150,"50","L","heath","c",1,"monocot",15,0.9049,1.677,1.661,-0.016,0.137,-0.298,0.265,FALSE
151,"50","L","heath","c",2,"monocot",15,0.02495,1.588,1.919,0.331,0.14,0.045,0.618,TRUE
152,"50","L","heath","c",3,"monocot",15,0.02977,1.609,1.9,0.291,0.126,0.031,0.552,TRUE
153,"50","L","heath","c",4,"monocot",15,0.67487,1.449,1.493,0.044,0.105,-0.17,0.259,FALSE
154,"51","Y","arid","b",1,"dicot",21,0.00059,1.692,2.129,0.436,0.117,0.2,0.672,TRUE
155,"51","Y","arid","b",2,"monocot",21,0,1.2,1.561,0.361,0.065,0.229,0.494,TRUE
156,"52","J","forest","c",1,"monocot",12,0.00693,1.261,1.017,-0.244,0.074,-0.406,-0.082,TRUE
157,"52","J","forest","c",2,"monocot",12,0.00168,1.507,1.048,-0.459,0.113,-0.706,-0.212,TRUE
158,"52","J","forest","c",3,"monocot",12,7e-05,1.447,1.022,-0.425,0.07,-0.578,-0.272,TRUE
159,"52","J","forest","c",4,"dicot",12,1e-05,1.419,1.019,-0.4,0.054,-0.518,-0.282,TRUE
160,"53","X","grassland","c",1,"monocot",16,0.00191,1.423,1.114,-0.309,0.09,-0.493,-0.125,TRUE
161,"53","X","grassland","c",2,"dicot",16,0.00506,1.298,1.098,-0.2,0.065,-0.334,-0.066,TRUE
162,"54","P","heath","a",1,"dicot",8,0.00569,1.489,2.002,0.513,0.149,0.184,0.841,TRUE
163,"54","P","heath","a",2,"monocot",8,0.00149,1.489,2.457,0.968,0.22,0.475,1.462,TRUE
164,"54","P","heath","a",3,"dicot",8,0.00388,1.361,2.096,0.735,0.208,0.285,1.186,TRUE
165,"55","P","heath","a",1,"dicot",21,0.00695,1.341,1.614,0.273,0.096,0.079,0.467,TRUE
166,"55","P","heath","a",2,"monocot",21,0.00015,1.676,2.17,0.494,0.117,0.257,0.731,TRUE
167,"56","R","forest","c",1,"dicot",18,0.28267,1.631,1.518,-0.113,0.103,-0.323,0.097,FALSE
168,"56","R","forest","c",2,"monocot",18,0.28241,1.647,1.541,-0.106,0.097,-0.304,0.092,FALSE
169,"56","R","forest","c",3,"monocot",18,0.46058,1.269,1.217,-0.053,0.07,-0.195,0.09,FALSE
170,"56","R","forest","c",4,"monocot",18,0.35598,1.569,1.487,-0.082,0.088,-0.261,0.096,FALSE
171,"57","D","heath","c",1,"dicot",8,0.93925,1.585,1.573,-0.011,0.146,-0.331,0.309,FALSE
172,"58","P","forest","a",1,"dicot",6,0.28957,1.182,1.363,0.18,0.161,-0.179,0.54,FALSE
173,"59","N","grassland","c",1,"monocot",9,0.00234,1.416,1.075,-0.342,0.084,-0.529,-0.154,TRUE
174,"59","N","grassland","c",2,"monocot",9,0.40662,1.431,1.33,-0.101,0.119,-0.354,0.151,FALSE
175,"59","N","grassland","c",3,"monocot",9,0.45487,1.281,1.212,-0.069,0.09,-0.261,0.123,FALSE
176,"59","N","grassland","c",4,"monocot",9,0.00062,1.552,1.154,-0.398,0.088,-0.589,-0.206,TRUE
177,"60","P","heath","b",1,"dicot",11,0.03256,1.675,2.135,0.459,0.198,0.043,0.876,TRUE
178,"60","P","heath","b",2,"monocot",11,0.00147,1.701,2.288,0.586,0.155,0.259,0.914,TRUE
179,"60","P","heath","b",3,"monocot",11,0.03714,1.692,2.107,0.415,0.183,0.028,0.803,TRUE
180,"60","P","heath","b",4,"dicot",11,0.009,1.628,2.133,0.505,0.164,0.15,0.861,TRUE
181,"60","P","heath","b",5,"dicot",11,0.00453,1.509,1.937,0.427,0.132,0.15,0.705,TRUE
