"record","study","author","environment","method","spn","planttype","nreps","p","meanbase","meancon","effsz","stderr","lb","ub","sig"
30,"8","A","arid","c",2,"monocot",16,0.524737761668614,1.087,1.136,0.049,0.077,-0.107,0.206,FALSE
31,"8","A","arid","c",3,"dicot",16,0.191144608438468,1.059,1.164,0.105,0.078,-0.056,0.266,FALSE
32,"8","A","arid","c",4,"monocot",16,0.0304716971360373,1.014,1.222,0.208,0.091,0.021,0.394,TRUE
33,"8","A","arid","c",5,"monocot",16,3.99389669989927e-05,1.534,1.158,-0.377,0.077,-0.535,-0.218,TRUE
34,"9","O","grassland","b",1,"monocot",16,0.46942743864844,1.405,1.331,-0.073,0.1,-0.278,0.131,FALSE
35,"9","O","grassland","b",2,"monocot",16,0.000216074359803787,1.922,1.288,-0.634,0.14,-0.926,-0.341,TRUE
36,"9","O","grassland","b",3,"monocot",16,1.61994921447268e-05,1.819,1.238,-0.581,0.113,-0.813,-0.35,TRUE
37,"9","O","grassland","b",4,"monocot",16,1.9216432398753e-06,1.803,1.09,-0.713,0.116,-0.952,-0.474,TRUE
38,"9","O","grassland","b",5,"dicot",16,0.000120619038434135,1.74,1.24,-0.5,0.109,-0.725,-0.275,TRUE
39,"9","O","grassland","b",6,"dicot",16,0.000333395460703993,1.605,1.177,-0.428,0.099,-0.636,-0.221,TRUE
40,"10","E","arid","b",1,"dicot",7,0.0017186521995464,2.248,1.189,-1.059,0.237,-1.598,-0.52,TRUE
41,"10","E","arid","b",2,"monocot",7,0.431010188344395,1.236,1.096,-0.14,0.171,-0.516,0.237,FALSE
42,"10","E","arid","b",3,"dicot",7,0.742752212967451,1.077,1.112,0.035,0.106,-0.195,0.266,FALSE
43,"10","E","arid","b",4,"monocot",7,0.296343851547733,1.333,1.203,-0.131,0.12,-0.391,0.13,FALSE
44,"10","E","arid","b",5,"monocot",7,0.0228616736485526,1.353,1.127,-0.226,0.086,-0.414,-0.037,TRUE
45,"10","E","arid","b",6,"dicot",7,0.00755063224563455,1.698,1.17,-0.527,0.157,-0.879,-0.176,TRUE
46,"11","B","grassland","c",1,"dicot",9,0.00533978827364012,2.218,1.39,-0.828,0.25,-1.366,-0.291,TRUE
47,"11","B","grassland","c",2,"dicot",9,0.49995488091405,1.208,1.296,0.088,0.127,-0.183,0.358,FALSE
48,"11","B","grassland","c",3,"dicot",9,0.0103159314951081,1.858,1.334,-0.525,0.177,-0.905,-0.145,TRUE
49,"11","B","grassland","c",4,"dicot",9,0.000857876590017989,1.905,1.339,-0.566,0.131,-0.849,-0.283,TRUE
50,"11","B","grassland","c",5,"monocot",9,0.634153551380717,1.213,1.255,0.042,0.086,-0.141,0.224,FALSE
51,"12","L","forest","a",1,"monocot",6,0.117916946044123,1.279,1.454,0.175,0.102,-0.053,0.403,FALSE
52,"12","L","forest","a",2,"monocot",6,0.368830116027299,1.532,1.356,-0.176,0.186,-0.593,0.242,FALSE
53,"13","J","forest","b",1,"monocot",7,0.823359031874514,1.453,1.482,0.029,0.126,-0.249,0.307,FALSE
54,"13","J","forest","b",2,"monocot",7,0.243566139925319,1.763,1.513,-0.249,0.202,-0.695,0.197,FALSE
55,"13","J","forest","b",3,"dicot",7,0.359367374644867,1.31,1.473,0.163,0.168,-0.221,0.546,FALSE
56,"13","J","forest","b",4,"monocot",7,0.374748100823866,1.174,1.285,0.111,0.12,-0.154,0.376,FALSE
57,"13","J","forest","b",5,"dicot",7,0.472375963512288,1.465,1.341,-0.124,0.167,-0.489,0.241,FALSE
58,"14","O","forest","c",1,"monocot",5,0.000277007451829282,0.966,1.544,0.579,0.088,0.372,0.786,TRUE
59,"14","O","forest","c",2,"dicot",5,0.654824180428387,1.791,1.921,0.129,0.276,-0.534,0.793,FALSE
60,"14","O","forest","c",3,"monocot",5,0.00640386367404034,1.156,1.656,0.5,0.136,0.186,0.814,TRUE
61,"14","O","forest","c",4,"dicot",5,0.990986882195163,1.772,1.775,0.003,0.285,-0.663,0.67,FALSE
62,"14","O","forest","c",5,"dicot",5,0.151070259136684,1.305,1.59,0.285,0.167,-0.149,0.719,FALSE
63,"15","E","grassland","c",1,"monocot",19,7.24410103220001e-05,1.252,1.628,0.376,0.082,0.209,0.544,TRUE
64,"16","N","arid","c",1,"monocot",16,5.94910794505577e-07,1.857,1.111,-0.746,0.118,-0.988,-0.505,TRUE
65,"16","N","arid","c",2,"monocot",16,5.97012052406041e-06,1.683,1.034,-0.649,0.113,-0.883,-0.416,TRUE
66,"16","N","arid","c",3,"monocot",16,0.384651130091704,1.074,1.022,-0.052,0.059,-0.173,0.069,FALSE
67,"16","N","arid","c",4,"monocot",16,1.06394913713648e-05,1.56,1.091,-0.469,0.086,-0.645,-0.292,TRUE
68,"16","N","arid","c",5,"monocot",16,0.000158915059351467,1.592,1.113,-0.479,0.108,-0.702,-0.257,TRUE
69,"16","N","arid","c",6,"monocot",16,2.65357868445177e-08,1.607,0.983,-0.624,0.083,-0.794,-0.454,TRUE
70,"17","L","forest","c",1,"monocot",24,2.48676197725919e-07,1.899,1.261,-0.638,0.098,-0.838,-0.438,TRUE
71,"17","L","forest","c",2,"monocot",24,0.0222129694471156,1.271,1.466,0.196,0.083,0.029,0.362,TRUE
72,"17","L","forest","c",3,"monocot",24,0.432554558880157,1.503,1.428,-0.075,0.095,-0.266,0.116,FALSE
73,"18","J","arid","a",1,"monocot",16,0.000151075399980383,1.16,0.788,-0.373,0.083,-0.543,-0.202,TRUE
74,"18","J","arid","a",2,"monocot",16,3.94484419570554e-07,1.341,0.737,-0.605,0.088,-0.786,-0.424,TRUE
75,"18","J","arid","a",3,"dicot",16,4.41709259768709e-15,1.821,0.778,-1.043,0.07,-1.185,-0.9,TRUE
76,"18","J","arid","a",4,"monocot",16,7.58344528805268e-07,1.61,0.738,-0.872,0.115,-1.114,-0.63,TRUE
77,"19","B","forest","c",1,"monocot",13,7.39949947524142e-07,1.121,1.966,0.845,0.12,0.594,1.095,TRUE
78,"19","B","forest","c",2,"monocot",13,0.00010215111772324,1.18,1.849,0.669,0.14,0.378,0.96,TRUE
79,"19","B","forest","c",3,"dicot",13,0.627782656124227,1.824,1.92,0.096,0.195,-0.307,0.498,FALSE
80,"19","B","forest","c",4,"monocot",13,0.167309495723559,1.8,2.001,0.201,0.141,-0.09,0.492,FALSE
81,"20","O","forest","a",1,"dicot",20,0.155769013583383,1.379,1.247,-0.132,0.091,-0.316,0.053,FALSE
82,"20","O","forest","a",2,"monocot",20,1.05478039658514e-05,1.917,1.296,-0.621,0.114,-0.856,-0.386,TRUE
83,"20","O","forest","a",3,"monocot",20,4.19024690765744e-07,2.051,1.263,-0.788,0.117,-1.029,-0.547,TRUE
84,"20","O","forest","a",4,"monocot",20,9.37140971721444e-06,1.031,1.432,0.401,0.078,0.242,0.559,TRUE
85,"20","O","forest","a",5,"monocot",20,0.000536963016423307,0.962,1.279,0.317,0.082,0.15,0.484,TRUE
86,"20","O","forest","a",6,"monocot",20,0.0077399257695579,1.706,1.385,-0.321,0.114,-0.552,-0.09,TRUE
87,"21","D","heath","b",1,"dicot",20,0.00398909797471751,1.544,1.245,-0.298,0.097,-0.495,-0.101,TRUE
88,"21","D","heath","b",2,"dicot",20,0.326223412124691,1.297,1.217,-0.08,0.08,-0.242,0.083,FALSE
89,"22","M","forest","a",1,"monocot",13,0.646865238918495,1.374,1.419,0.045,0.098,-0.157,0.247,FALSE
90,"22","M","forest","a",2,"dicot",13,0.00857940780226034,1.86,1.502,-0.358,0.125,-0.617,-0.1,TRUE
91,"22","M","forest","a",3,"monocot",13,0.450088998668155,1.293,1.398,0.104,0.136,-0.177,0.386,FALSE
92,"22","M","forest","a",4,"dicot",13,0.000323920490273949,2.01,1.401,-0.609,0.145,-0.909,-0.309,TRUE
93,"22","M","forest","a",5,"dicot",13,0.300239653190243,1.582,1.468,-0.114,0.107,-0.335,0.108,FALSE
94,"22","M","forest","a",6,"dicot",13,0.0377854794259638,1.173,1.421,0.249,0.113,0.015,0.482,TRUE
95,"23","J","arid","b",1,"monocot",24,3.84609300641588e-13,1.913,0.912,-1.001,0.089,-1.181,-0.82,TRUE
96,"24","F","heath","a",1,"monocot",9,0.514338617459076,1.222,1.129,-0.093,0.139,-0.392,0.206,FALSE
97,"24","F","heath","a",2,"monocot",9,0.619094629863437,1.082,1.146,0.064,0.126,-0.206,0.334,FALSE
98,"24","F","heath","a",3,"dicot",9,0.0025880391550071,1.881,1.223,-0.658,0.177,-1.041,-0.275,TRUE
99,"24","F","heath","a",4,"monocot",9,1.68314031606489e-05,1.957,1.175,-0.782,0.113,-1.028,-0.536,TRUE
100,"25","H","grassland","c",1,"monocot",15,0.549756357512134,1.499,1.584,0.085,0.14,-0.204,0.373,FALSE
101,"25","H","grassland","c",2,"monocot",15,0.181498490585215,1.614,1.759,0.145,0.105,-0.072,0.361,FALSE
102,"25","H","grassland","c",3,"dicot",15,0.0834921568026679,1.815,1.565,-0.25,0.139,-0.535,0.035,FALSE
103,"25","H","grassland","c",4,"monocot",15,0.00361727608363284,1.271,1.696,0.425,0.131,0.154,0.696,TRUE
104,"25","H","grassland","c",5,"dicot",15,3.1833216932011e-05,1.158,1.599,0.441,0.087,0.261,0.62,TRUE
105,"25","H","grassland","c",6,"monocot",15,0.00696305544825535,1.943,1.579,-0.364,0.125,-0.621,-0.108,TRUE
106,"26","D","heath","b",1,"dicot",11,0.643988070404069,1.319,1.266,-0.053,0.112,-0.287,0.182,FALSE
107,"26","D","heath","b",2,"dicot",11,0.000863231082868341,1.9,1.167,-0.733,0.169,-1.1,-0.366,TRUE
108,"27","J","heath","a",1,"dicot",20,2.98255455799076e-07,1.849,1.229,-0.621,0.099,-0.821,-0.42,TRUE
109,"27","J","heath","a",2,"monocot",20,0.0271926279799777,1.11,1.276,0.166,0.072,0.02,0.312,TRUE
110,"27","J","heath","a",3,"dicot",20,0.00150969147655328,1.726,1.386,-0.34,0.099,-0.54,-0.139,TRUE
111,"27","J","heath","a",4,"dicot",20,0.990308070702171,1.256,1.255,-0.001,0.068,-0.14,0.138,FALSE
112,"27","J","heath","a",5,"monocot",20,0.491253269997206,1.364,1.303,-0.062,0.089,-0.242,0.119,FALSE
113,"27","J","heath","a",6,"monocot",20,0.601816081760847,1.244,1.289,0.045,0.085,-0.128,0.218,FALSE
114,"28","N","arid","c",1,"monocot",23,0.218691926308551,1.387,1.28,-0.107,0.086,-0.281,0.067,FALSE
115,"28","N","arid","c",2,"dicot",23,0.0825680325781682,1.424,1.286,-0.138,0.078,-0.296,0.019,FALSE
116,"28","N","arid","c",3,"monocot",23,0.451643989928887,1.348,1.287,-0.061,0.081,-0.225,0.102,FALSE
117,"28","N","arid","c",4,"monocot",23,0.510629705199754,1.217,1.273,0.055,0.083,-0.113,0.224,FALSE
118,"28","N","arid","c",5,"monocot",23,0.395504062295142,1.182,1.235,0.053,0.062,-0.072,0.178,FALSE
119,"29","F","forest","b",1,"dicot",6,0.0621864200116497,0.855,1.148,0.294,0.135,-0.019,0.606,FALSE
120,"29","F","forest","b",2,"monocot",6,0.701582013039161,1.211,1.292,0.081,0.203,-0.405,0.567,FALSE
121,"29","F","forest","b",3,"dicot",6,0.982397170576552,1.156,1.152,-0.003,0.153,-0.357,0.35,FALSE
122,"29","F","forest","b",4,"dicot",6,0.061383162792756,1.654,1.207,-0.447,0.204,-0.922,0.027,FALSE
123,"29","F","forest","b",5,"monocot",6,0.0033018655450603,1.929,1.311,-0.618,0.145,-0.958,-0.279,TRUE
124,"29","F","forest","b",6,"monocot",6,0.436174788557579,1.324,1.39,0.066,0.082,-0.117,0.249,FALSE
125,"30","K","grassland","a",1,"dicot",13,0.00392806281197064,1.664,1.344,-0.32,0.1,-0.527,-0.113,TRUE
126,"30","K","grassland","a",2,"monocot",13,0.000263996209262148,1.984,1.357,-0.628,0.147,-0.931,-0.325,TRUE
127,"31","O","forest","a",1,"monocot",9,0.0795051197798921,1.192,1.387,0.196,0.104,-0.026,0.418,FALSE
128,"31","O","forest","a",2,"dicot",9,0.000840997905883478,1.793,1.276,-0.517,0.126,-0.784,-0.25,TRUE
129,"31","O","forest","a",3,"dicot",9,0.00751520336749233,1.798,1.433,-0.366,0.12,-0.619,-0.112,TRUE
130,"31","O","forest","a",4,"monocot",9,0.00153815225433208,1.084,1.449,0.365,0.094,0.164,0.565,TRUE
131,"31","O","forest","a",5,"monocot",9,0.011527587155261,1.034,1.445,0.411,0.139,0.109,0.712,TRUE
132,"32","N","arid","b",1,"monocot",5,0.0044137718975287,2.024,1.122,-0.903,0.202,-1.398,-0.407,TRUE
133,"33","O","arid","a",1,"monocot",7,0.00119130457792651,1.448,0.897,-0.552,0.129,-0.835,-0.269,TRUE
134,"34","L","forest","c",1,"monocot",8,0.0438663080230574,1.677,1.364,-0.313,0.138,-0.616,-0.01,TRUE
135,"34","L","forest","c",2,"monocot",8,0.00748206446905437,2.008,1.474,-0.534,0.171,-0.9,-0.167,TRUE
136,"34","L","forest","c",3,"dicot",8,0.204374854400397,1.967,1.669,-0.298,0.22,-0.784,0.189,FALSE
137,"34","L","forest","c",4,"monocot",8,0.544480370951239,1.793,1.692,-0.102,0.164,-0.454,0.25,FALSE
138,"34","L","forest","c",5,"monocot",8,0.125704608085095,1.931,1.585,-0.346,0.212,-0.801,0.11,FALSE
139,"34","L","forest","c",6,"monocot",8,0.00444855859870267,1.109,1.471,0.362,0.104,0.135,0.588,TRUE
140,"35","E","arid","c",1,"dicot",20,3.90073265635968e-05,1.343,0.921,-0.422,0.086,-0.599,-0.245,TRUE
141,"35","E","arid","c",2,"dicot",20,6.02880605301703e-08,1.572,0.94,-0.632,0.089,-0.813,-0.451,TRUE
142,"35","E","arid","c",3,"monocot",20,2.13186044165259e-07,1.523,0.919,-0.604,0.089,-0.787,-0.421,TRUE
143,"35","E","arid","c",4,"dicot",20,1.4779651398158e-10,1.807,0.949,-0.858,0.093,-1.047,-0.668,TRUE
144,"35","E","arid","c",5,"dicot",20,1.21260611542391e-09,1.778,0.962,-0.816,0.09,-1.001,-0.631,TRUE
145,"35","E","arid","c",6,"dicot",20,1.59408527622839e-12,1.889,0.907,-0.982,0.08,-1.146,-0.818,TRUE
146,"36","G","forest","b",1,"dicot",16,0.699414442327934,1.61,1.573,-0.037,0.096,-0.234,0.159,FALSE
147,"36","G","forest","b",2,"monocot",16,0.163106812127811,1.694,1.524,-0.17,0.119,-0.412,0.073,FALSE
148,"36","G","forest","b",3,"monocot",16,0.017483329494489,1.423,1.651,0.228,0.09,0.043,0.412,TRUE
149,"37","K","grassland","b",1,"monocot",13,0.105093488531998,1.177,1.426,0.249,0.144,-0.059,0.558,FALSE
150,"37","K","grassland","b",2,"monocot",13,0.000143041387812102,2.166,1.248,-0.918,0.174,-1.294,-0.542,TRUE
151,"37","K","grassland","b",3,"dicot",13,0.42045554461341,1.297,1.391,0.095,0.115,-0.145,0.335,FALSE
152,"37","K","grassland","b",4,"monocot",13,0.0170028795987456,1.451,1.219,-0.232,0.089,-0.417,-0.046,TRUE
153,"37","K","grassland","b",5,"monocot",13,5.32263725646811e-05,1.822,1.255,-0.566,0.11,-0.797,-0.336,TRUE
154,"38","J","arid","b",1,"monocot",5,0.0353091736864548,1.083,0.837,-0.246,0.091,-0.469,-0.024,TRUE
155,"38","J","arid","b",2,"dicot",5,0.00858493556852746,1.539,0.971,-0.568,0.134,-0.915,-0.221,TRUE
156,"38","J","arid","b",3,"dicot",5,0.0125137208196366,1.423,0.998,-0.426,0.12,-0.721,-0.131,TRUE
157,"39","M","forest","a",1,"dicot",24,5.68553775310146e-10,1.867,1.1,-0.767,0.094,-0.957,-0.578,TRUE
158,"40","F","arid","a",1,"monocot",13,3.00167126686067e-07,1.758,1.002,-0.756,0.103,-0.97,-0.542,TRUE
159,"40","F","arid","a",2,"dicot",13,6.64010925182155e-06,1.743,0.954,-0.788,0.113,-1.03,-0.546,TRUE
