"V1","V2","V3"
"313","3.45195618407926","0.000145032765692357"
"314","5.24545573604481","0.000431738150601767"
"315","7.96209052053135","0.00170728222144471"
"316","12.0650005492412","0.00862212331427205"
"317","18.1968099771067","0.0549823561733364"
"318","26.8573683968642","0.433486410099332"
"319","34.9355322701727","3.61392999111819"
"320","25.5911960472814","17.4539884901233"
"321","7.23961208974507","20.4361652383365"
"322","2.36046808484781","6.03970741943853"
"323","1.67978935695537","1.41312778315089"
"324","2.10739563670067","0.367874703651565"
"325","3.01678433572047","0.162091400041478"
"326","4.41993373911956","0.124019576556983"
"327","6.4714802568849","0.148435518226964"
"328","9.3491876600022","0.258576624090411"
"329","13.0840950292231","0.591253028958327"
"330","17.1238747306542","1.51517142147102"
"331","19.9223693654344","3.50387368172639"
"332","19.9359694135068","6.1373823780875"
"333","17.4895132810005","7.7944413848414"
"334","14.3389762641903","7.61768381884955"
"335","11.7867203652603","6.35413625163578"
"336","10.2122519991951","4.96451108228948"
"337","9.5791435292784","3.85885154385781"
"338","9.75913257047408","3.12125846220434"
"339","10.6189724340785","2.73659245611235"
"340","11.9758420116407","2.70114600174179"
"341","13.4216580277188","3.09557697979216"
"342","14.1305955084685","4.04210613677463"
"343","13.2583900201489","5.27318528359174"
"344","11.2404383473904","5.70553774413295"
"345","9.46765498596318","4.87066282314887"
"346","8.72634627431257","3.59805449388285"
"347","9.08744229189101","2.61119104520998"
"348","10.4433389014211","2.05879184488927"
"349","12.7211329192672","1.88531372539333"
"350","15.8316264680689","2.07915625881747"
"351","19.4227929934258","2.78971351014524"
"352","22.3258246795295","4.45231556216557"
"353","21.8334556179237","7.71541432437787"
"354","15.3954067195394","11.578393590863"
"355","7.40028061243874","10.5567090455096"
"356","3.85625318963853","4.96514552566264"
"357","3.30772140209402","1.72526353862485"
"358","3.96149951417172","0.684507597844996"
"359","5.36813797133055","0.364998071778217"
"360","7.56398691728033","0.275078631520601"
"361","10.7690254747105","0.293073168466542"
"362","15.2974329776691","0.421729068662357"
"363","21.4405357297446","0.774085075795938"
"364","29.0764768077583","1.71985275651244"
"365","36.3776408232474","4.37207511353651"
"366","36.8108477365851","11.3406958925334"
"367","21.5405079513742","22.187764513255"
"368","4.90599339692342","18.5225736615114"
"369","1.12529154802382","4.41138702132559"
"370","0.935386753621159","0.559768513514049"
"371","1.30055501824967","0.0908248260346014"
"372","1.94412586598542","0.0242035102269119"
"373","2.93354801964735","0.0119276799690285"
"374","4.42625831679239","0.012077832340872"
"375","6.65766136015796","0.0229430732484035"
"376","9.94539421442282","0.0638652580505261"
"377","14.6352231899782","0.212242967652883"
"378","20.8028385084169","0.74501362064393"
"379","27.1974577033667","2.54828567891553"
"380","29.1096700581862","7.52352419114357"
"381","20.6833826550685","15.0378550003515"
"382","8.74209690489492","14.9190800108946"
"383","3.41310461604804","6.77516593132991"
"384","2.24278308927884","2.06191626619907"
"385","2.46508091516131","0.630226368386293"
"386","3.38459502367541","0.215541143044662"
"387","4.9387993420734","0.0940246446636346"
"388","7.31021727080142","0.0638888395454107"
"389","10.8115730053123","0.09126296211706"
"390","15.7645887776289","0.260600752807654"
"391","22.0101122404526","0.970367095567938"
"392","27.5308721435539","3.37563263033708"
"393","27.3410620167174","8.84852932921609"
"394","18.7451255827365","14.4672719526175"
"395","8.92319612697843","12.8252747776702"
"396","4.19534188964346","6.35949439048056"
"397","3.02196238180665","2.31560000409959"
"398","3.33268210496764","0.852740454111178"
"399","4.47224948428195","0.378153735515731"
"400","6.39493841240025","0.22770854233412"
"400","3.48780834222055","17.8703673611471"
