plot,Abarema.macradenium,Acacia.melanoceras,Acalypha.diversifolia,Acalypha.macrostachya,Adelia.triloba,Aegiphila.panamensis,Alchornea.costaricensis,Alchornea.latifolia,Alibertia.edulis,Allophylus.psilospermus,Alseis.blackiana,Amaioua.corymbosa,Anacardium.excelsum,Andira.inermis,Annona.spraguei,Apeiba.aspera,Apeiba.tibourbou,Aspidosperma.cruenta,Astrocaryum.standleyanum,Astronium.graveolens,Attalea.butyracea,Banara.guianensis,Beilschmiedia.pendula,Brosimum.alicastrum,Brosimum.guianense,Calophyllum.longifolium,Casearia.aculeata,Casearia.arborea,Casearia.commersoniana,Casearia.guianensis,Casearia.sylvestris,Cassipourea.elliptica,Cavanillesia.platanifolia,Cecropia.insignis,Cecropia.obtusifolia,Cedrela.odorata,Ceiba.pentandra,Celtis.schippii,Cespedezia.macrophylla,Chamguava.schippii,Chimarrhis.parviflora,Chlorophora.tinctoria,Chrysochlamis.eclipes,Chrysophyllum.argenteum,Chrysophyllum.cainito,Coccoloba.coronata,Coccoloba.manzanillensis,Colubrina.glandulosa,Cordia.alliodora,Cordia.bicolor,Cordia.lasiocalyx,Coussarea.curvigemmia,Croton.billbergianus,Cupania.cinerea,Cupania.latifolia,Cupania.rufescens,Cupania.sylvatica,Dendropanax.arboreus,Desmopsis.panamensis,Diospyros.artanthifolia,Dipteryx.panamensis,Drypetes.standleyi,Elaeis.oleifera,Enterolobium.schomburgkii,Erythrina.costaricensis,Erythroxylum.macrophyllum,Eugenia.coloradensis,Eugenia.galalonensis,Eugenia.nesiotica,Eugenia.oerstedeana,Faramea.occidentalis,Ficus.colubrinae,Ficus.costarcana,Ficus.insipida,Ficus.maxima,Ficus.obtusifolia,Ficus.popenoei,Ficus.tonduzii,Ficus.trigonata,Ficus.yoponensis,Garcinia.intermedia,Garcinia.madruno,Genipa.americana,Guapira.standleyana,Guarea.fuzzy,Guarea.grandifolia,Guarea.guidonia,Guatteria.dumetorum,Guazuma.ulmifolia,Guettarda.foliacea,Gustavia.superba,Hampea.appendiculata,Hasseltia.floribunda,Heisteria.acuminata,Heisteria.concinna,Hirtella.americana,Hirtella.triandra,Hura.crepitans,Hyeronima.alchorneoides,Inga.acuminata,Inga.cocleensis,Inga.goldmanii,Inga.laurina,Inga.marginata,Inga.nobilis,Inga.oerstediana,Inga.pezizifera,Inga.punctata,Inga.ruiziana,Inga.sapindoides,Inga.spectabilis,Inga.umbellifera,Jacaranda.copaia,Lacistema.aggregatum,Lacmellea.panamensis,Laetia.procera,Laetia.thamnia,Lafoensia.punicifolia,Licania.hypoleuca,Licania.platypus,Lindackeria.laurina,Lonchocarpus.latifolius,Luehea.seemannii,Macrocnemum.roseum,Maquira.costaricana,Margaritaria.nobilis,Marila.laxiflora,Maytenus.schippii,Miconia.affinis,Miconia.argentea,Miconia.elata,Miconia.hondurensis,Mosannona.garwoodii,Myrcia.gatunensis,Myrospermum.frutescens,Nectandra.cissiflora,Nectandra.lineata,Nectandra.purpurea,Ochroma.pyramidale,Ocotea.cernua,Ocotea.oblonga,Ocotea.puberula,Ocotea.whitei,Oenocarpus.mapora,Ormosia.amazonica,Ormosia.coccinea,Ormosia.macrocalyx,Pachira.quinata,Pachira.sessilis,Perebea.xanthochyma,Phoebe.cinnamomifolia,Picramnia.latifolia,Piper.reticulatum,Platymiscium.pinnatum,Platypodium.elegans,Posoqueria.latifolia,Poulsenia.armata,Pourouma.bicolor,Pouteria.fossicola,Pouteria.reticulata,Pouteria.stipitata,Prioria.copaifera,Protium.costaricense,Protium.panamense,Protium.tenuifolium,Pseudobombax.septenatum,Psidium.friedrichsthalianum,Psychotria.grandis,Pterocarpus.rohrii,Quararibea.asterolepis,Quassia.amara,Randia.armata,Sapium.broadleaf,Sapium.glandulosum,Schizolobium.parahyba,Senna.dariensis,Simarouba.amara,Siparuna.guianensis,Siparuna.pauciflora,Sloanea.terniflora,Socratea.exorrhiza,Solanum.hayesii,Sorocea.affinis,Spachea.membranacea,Spondias.mombin,Spondias.radlkoferi,Sterculia.apetala,Swartzia.simplex.var.grandiflora,Swartzia.simplex.var.ochnacea,Symphonia.globulifera,Tabebuia.guayacan,Tabebuia.rosea,Tabernaemontana.arborea,Tachigali.versicolor,Talisia.nervosa,Talisia.princeps,Terminalia.amazonia,Terminalia.oblonga,Tetragastris.panamensis,Tetrathylacium.johansenii,Theobroma.cacao,Thevetia.ahouai,Tocoyena.pittieri,Trattinnickia.aspera,Trema.micrantha,Trichanthera.gigantea,Trichilia.pallida,Trichilia.tuberculata,Trichospermum.galeottii,Triplaris.cumingiana,Trophis.caucana,Trophis.racemosa,Turpinia.occidentalis,Unonopsis.pittieri,Virola.multiflora,Virola.sebifera,Virola.surinamensis,Vismia.baccifera,Vochysia.ferruginea,Xylopia.macrantha,Zanthoxylum.ekmanii,Zanthoxylum.juniperinum,Zanthoxylum.panamense,Zanthoxylum.setulosum,Zuelania.guidonia
12,0,0,0,0,1,1,2,0,0,1,17,0,0,0,0,5,0,0,2,0,0,0,1,2,1,0,0,0,0,0,2,2,0,15,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,2,3,4,1,1,0,0,4,2,0,0,0,3,0,0,0,0,0,0,3,1,48,0,0,0,0,1,2,2,0,0,1,0,0,2,0,0,4,0,8,0,3,0,0,0,8,0,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,5,10,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,11,9,0,0,3,0,24,0,2,3,0,0,0,0,6,0,2,0,0,0,0,10,0,0,2,14,0,1,0,1,0,2,14,7,4,0,0,2,2,0,0,0,0,14,0,0,0,3,1,2,0,2,48,0,10,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0
13,0,0,0,0,2,3,0,0,0,1,8,0,0,0,5,1,5,0,6,0,3,0,0,3,0,0,1,0,0,0,0,8,0,14,0,0,1,0,0,0,3,1,0,2,0,0,1,0,5,0,3,4,15,0,0,0,3,7,0,0,0,0,4,0,0,0,3,0,1,10,36,0,0,2,0,0,0,0,0,0,3,1,2,2,0,0,4,0,10,2,8,0,0,0,4,0,10,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,3,0,7,4,10,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,2,0,12,0,0,1,0,0,0,1,2,0,0,3,3,0,0,1,6,0,9,0,0,1,0,1,0,3,1,0,14,0,0,1,0,0,0,0,1,1,0,0,1,13,0,3,0,2,0,1,5,12,4,0,0,3,0,6,0,0,0,0,0,0,0,9,28,0,24,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0
14,0,0,0,0,0,0,5,0,0,0,21,0,0,2,2,5,2,2,5,0,5,1,5,5,0,9,0,4,0,1,0,0,0,17,2,0,0,1,0,1,0,0,0,4,4,0,0,0,3,16,9,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,1,27,0,1,0,1,1,0,0,0,0,2,0,1,1,0,0,6,8,10,0,5,0,6,1,0,0,12,0,3,0,2,1,0,0,0,0,0,0,0,5,1,0,17,0,2,1,0,4,0,0,5,1,8,0,0,0,0,0,1,4,0,0,0,2,0,1,0,1,0,1,1,0,1,17,0,0,0,0,0,4,3,2,0,1,2,7,13,1,0,4,0,3,4,7,5,0,0,0,2,12,0,2,0,0,0,1,8,0,0,2,4,0,0,0,1,0,0,2,3,0,1,0,19,0,0,0,1,1,4,1,0,0,0,0,0,0,2,34,0,11,0,0,0,0,0,15,0,0,2,0,14,3,1,0,1
15,0,0,1,0,4,0,1,0,0,0,13,0,0,0,2,5,1,0,0,0,2,0,10,2,1,0,0,7,0,0,0,0,0,28,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,25,2,1,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,6,33,0,0,0,0,0,0,2,0,0,0,2,0,4,2,2,0,18,19,7,1,0,15,0,3,0,3,0,0,0,4,0,0,12,8,0,0,0,0,0,0,3,18,3,1,0,2,0,1,0,0,1,12,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,8,0,0,0,0,0,1,0,0,0,0,0,9,19,0,0,4,0,0,2,0,1,0,0,0,0,6,0,4,1,0,0,0,4,0,1,0,5,1,2,0,0,5,0,1,0,3,1,0,8,7,0,1,0,1,0,0,0,0,0,1,0,0,6,32,0,12,0,0,1,12,0,13,2,0,0,1,8,7,2,0,0
16,0,0,0,0,5,0,4,0,0,2,31,0,0,0,0,9,0,0,5,0,1,0,5,3,2,0,0,0,0,0,3,1,0,15,0,0,1,2,3,0,0,0,2,2,0,1,0,0,0,15,13,0,4,0,2,0,0,5,0,0,0,1,1,0,2,0,0,0,0,8,25,0,0,0,0,0,0,1,0,0,1,0,2,1,2,0,6,6,9,0,12,0,6,1,2,0,3,2,0,11,0,0,0,8,0,0,0,0,0,0,1,0,11,2,1,0,0,0,0,1,1,2,12,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,14,0,0,0,0,0,0,1,0,0,0,0,9,29,0,0,7,1,21,1,0,3,1,0,0,1,25,0,3,0,0,1,0,7,0,0,1,3,2,0,0,0,4,0,5,6,1,0,1,10,0,0,0,0,2,2,0,0,0,0,1,0,0,3,20,0,15,0,3,2,0,0,15,5,0,0,3,2,1,1,0,0
17,0,0,1,0,0,0,2,0,0,2,39,0,0,0,1,0,0,0,1,1,0,0,5,0,1,0,0,0,0,1,0,0,1,12,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,6,2,4,0,0,0,1,7,2,0,0,0,2,0,0,0,0,4,0,3,2,45,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,7,1,6,0,6,0,10,0,2,0,0,2,2,2,0,1,2,0,0,0,0,2,1,0,4,3,0,2,0,1,0,0,2,5,14,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,2,1,8,2,0,0,4,3,19,1,2,2,0,0,0,1,10,0,8,0,0,0,0,4,0,0,0,1,0,0,0,2,0,2,3,7,0,1,1,0,2,0,0,0,0,12,0,1,0,0,2,0,0,1,35,0,11,1,0,0,0,0,12,0,0,0,4,1,1,1,0,1
18,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,15,0,0,0,0,0,1,0,1,0,0,3,0,2,0,3,4,3,5,6,0,0,2,0,2,0,0,0,1,7,0,0,0,1,0,4,8,38,0,2,0,0,0,0,0,0,0,5,0,2,0,1,1,3,0,13,2,5,0,1,0,7,0,15,0,1,0,1,0,0,0,3,0,1,0,3,2,0,0,5,0,4,2,0,0,0,0,3,3,18,0,0,0,0,3,2,4,0,0,3,0,0,1,2,0,0,3,1,0,1,18,0,1,0,0,0,0,0,0,0,1,0,6,0,1,1,20,0,9,0,0,1,0,0,0,5,0,0,5,1,2,0,0,2,0,0,0,0,0,0,0,3,4,3,6,0,0,0,0,14,0,1,0,0,0,4,2,0,0,0,0,0,0,2,25,0,12,1,3,0,0,0,1,2,0,1,2,0,2,1,0,1
19,0,0,0,0,0,1,0,1,0,0,14,0,0,2,2,13,2,0,1,0,0,0,1,4,0,0,0,3,0,1,0,3,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,6,2,0,1,0,0,1,6,1,0,1,1,2,0,0,0,4,2,1,11,43,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,4,12,0,5,0,4,0,4,0,24,0,3,0,3,0,1,0,0,1,0,0,0,2,1,1,13,2,3,0,6,6,4,0,1,1,15,0,2,0,0,1,0,0,1,1,0,2,0,0,0,0,0,2,0,2,0,27,0,0,0,0,0,0,0,0,0,2,1,6,8,0,0,6,8,4,0,1,8,0,0,1,1,3,0,1,0,2,0,0,7,0,1,1,3,1,1,0,0,0,0,8,5,0,0,1,14,5,0,0,0,1,9,0,0,0,0,1,0,0,2,45,0,14,0,4,0,4,0,11,2,0,0,0,4,1,1,0,0
20,0,0,1,0,1,1,2,0,0,1,11,0,0,0,3,7,1,1,0,0,0,0,3,0,0,5,0,3,0,0,1,2,0,20,1,0,3,6,0,0,0,0,0,1,1,3,1,0,0,18,2,0,0,0,1,1,3,3,0,0,0,0,0,0,0,1,1,0,0,3,16,0,1,0,0,0,0,4,0,0,0,1,0,1,2,2,6,9,10,6,5,0,9,0,0,1,11,0,4,0,2,7,0,12,4,0,0,3,0,1,2,0,7,0,1,0,2,0,0,0,1,1,6,0,1,0,0,1,2,6,0,0,1,0,0,4,3,0,0,0,0,2,6,22,0,0,0,0,1,1,0,0,0,0,1,13,17,0,1,3,1,0,9,0,12,0,0,0,4,9,0,0,1,0,0,0,9,0,0,0,8,0,0,1,0,3,0,3,0,0,0,2,14,6,0,0,0,0,2,0,0,0,0,0,0,0,13,30,2,12,0,0,4,10,1,14,1,0,0,2,0,4,2,0,1
21,0,0,0,0,1,0,0,1,0,4,9,0,1,0,0,3,0,0,4,1,3,0,2,4,0,3,0,0,0,0,0,1,0,11,6,0,1,2,0,1,0,0,0,1,1,3,0,0,0,9,7,0,1,1,0,0,1,1,0,0,0,9,0,0,0,0,1,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,11,14,11,0,10,0,7,1,2,0,17,0,1,0,0,0,3,0,0,0,0,2,1,0,0,1,11,0,3,2,0,0,0,1,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,9,8,0,0,1,0,0,0,0,0,0,0,0,5,49,0,1,0,0,15,3,2,7,1,1,0,0,13,0,1,0,0,0,0,2,0,0,1,6,1,0,1,0,1,0,2,2,1,0,2,2,1,0,0,0,2,4,0,0,0,1,1,0,0,0,26,1,15,2,0,0,7,2,11,12,0,0,14,12,4,0,0,0
22,0,0,0,0,1,0,6,0,0,3,23,0,0,1,0,3,0,1,7,1,0,0,0,7,0,1,2,0,0,0,1,3,1,11,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,2,8,10,0,0,0,0,1,0,0,3,0,4,0,0,0,3,2,0,2,1,51,0,1,0,0,2,0,0,0,0,5,1,0,2,1,3,5,11,7,0,5,0,3,0,9,0,7,1,1,4,4,1,1,3,0,0,0,0,0,4,0,1,7,3,0,0,0,1,2,0,2,0,11,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,29,0,0,0,0,0,0,1,1,0,0,0,9,5,0,0,1,0,24,0,3,3,0,0,0,0,10,0,12,0,0,1,0,5,0,0,0,0,0,0,0,1,1,0,6,4,0,0,0,13,1,0,0,0,0,8,1,0,1,0,1,0,1,3,45,0,13,0,0,2,2,0,4,1,0,0,0,1,2,1,0,0
23,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,0,0,15,0,2,3,0,3,0,1,0,0,0,0,2,4,0,10,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,5,1,4,0,0,0,1,2,2,0,0,0,4,0,1,1,3,0,1,3,24,1,0,2,0,0,0,0,0,0,4,2,0,0,3,0,5,5,18,0,1,0,9,0,2,0,9,6,4,1,2,5,1,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,1,1,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,29,0,0,0,0,0,0,1,0,1,0,2,7,2,0,0,15,0,1,0,3,2,3,0,1,2,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,2,1,0,4,0,0,5,4,1,0,0,7,0,12,0,2,2,0,0,0,0,0,31,0,14,1,0,0,0,0,9,0,0,0,0,1,1,0,0,0
24,0,0,0,0,5,0,0,0,0,2,11,0,1,3,0,3,0,0,5,0,0,0,16,2,0,2,0,0,1,0,0,0,0,12,0,0,2,4,0,2,1,1,0,0,2,1,1,0,0,6,8,2,0,0,0,0,2,2,0,0,0,1,0,0,3,0,0,0,0,0,20,0,0,0,1,3,0,0,0,0,2,0,1,5,0,0,7,7,12,2,2,2,4,0,10,3,9,0,1,0,1,0,0,2,1,0,0,0,0,5,0,0,4,0,0,0,2,0,0,0,5,1,8,0,4,1,0,1,0,7,0,0,0,0,1,0,1,0,0,1,0,1,3,30,0,0,0,0,0,0,5,0,0,3,0,12,5,0,1,5,0,4,0,1,6,1,0,0,0,10,0,3,0,4,0,0,4,0,0,0,3,0,2,0,0,0,0,1,2,2,1,0,8,4,0,0,2,0,13,0,0,0,0,1,0,0,3,42,1,12,0,1,3,0,0,12,0,0,0,0,1,0,0,1,0
25,0,0,0,0,0,4,1,0,0,0,19,0,1,0,0,7,0,2,16,0,3,0,7,3,0,0,1,1,0,0,2,2,4,18,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,5,0,2,0,0,0,0,3,0,0,0,4,1,0,0,0,0,3,0,5,38,0,0,0,0,0,0,0,0,0,2,1,0,6,2,0,8,1,18,3,15,1,2,0,5,1,32,1,1,0,0,0,0,3,0,0,0,0,0,2,1,0,6,4,0,0,1,0,2,0,3,6,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,15,0,1,0,0,0,0,0,0,1,1,0,10,4,0,0,8,0,1,5,8,4,0,0,0,1,19,0,5,0,0,0,0,19,0,0,0,9,0,0,8,0,1,0,2,2,2,0,0,5,1,0,0,1,1,10,0,3,0,0,0,0,1,6,28,0,9,0,2,0,2,0,11,3,0,0,0,1,6,1,0,0
26,0,0,0,0,0,0,2,0,0,0,7,0,1,4,0,3,2,0,8,1,3,0,4,2,0,0,0,2,0,0,1,2,3,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,0,2,0,0,26,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,11,15,10,0,4,0,8,1,3,0,21,1,1,2,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,14,7,0,0,0,0,0,0,0,5,1,1,2,13,20,0,0,7,0,18,2,0,4,0,1,0,1,27,0,5,0,0,0,1,5,0,0,1,5,1,0,0,0,1,0,8,4,0,0,4,5,4,0,1,1,3,4,0,0,0,0,0,0,0,2,10,0,12,0,0,0,1,0,18,10,1,0,16,2,1,0,0,0
27,0,0,0,0,1,5,3,0,0,3,21,0,0,0,0,4,0,0,2,0,1,0,1,3,0,1,2,0,0,0,1,0,0,16,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,11,1,1,1,1,0,5,0,0,1,0,10,0,0,0,1,2,0,1,5,57,0,1,0,0,0,0,0,0,0,2,1,0,6,1,1,16,1,10,0,3,0,1,0,1,0,9,2,0,0,0,2,0,1,1,0,1,5,0,3,0,1,1,1,2,0,2,0,1,0,4,0,7,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,2,9,0,0,0,0,0,0,0,3,0,0,2,11,5,0,0,0,3,13,1,0,3,1,0,0,1,21,0,8,1,3,0,0,18,0,0,0,0,0,2,0,0,0,0,6,2,0,4,0,5,5,0,1,0,9,13,0,0,0,0,2,0,0,7,21,0,13,0,1,9,0,0,6,3,0,0,8,3,1,3,0,0
28,0,2,0,1,0,1,3,1,0,1,8,0,0,0,0,4,0,2,8,2,0,0,0,3,0,4,0,1,0,0,0,7,3,20,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,6,4,3,0,0,0,1,0,0,0,0,3,4,1,0,0,0,0,0,2,7,67,0,0,0,0,0,0,0,0,0,4,0,0,3,2,0,9,5,10,1,3,0,2,0,4,0,9,2,2,2,0,1,0,3,2,0,0,0,0,4,0,1,4,0,0,0,0,0,0,1,1,0,11,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,2,0,11,2,0,0,3,0,2,4,0,2,0,0,0,1,30,1,4,0,0,0,0,7,0,1,3,0,0,3,1,0,0,2,6,0,0,3,2,3,9,0,0,1,0,14,1,0,1,0,1,1,0,0,52,0,12,0,0,0,1,1,19,2,0,0,0,0,0,0,1,0
29,0,1,0,0,1,0,2,0,0,0,13,0,0,1,0,2,0,3,1,0,0,0,12,3,0,0,0,0,0,0,0,3,0,23,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,5,4,0,0,1,0,0,3,0,0,0,0,7,0,0,0,0,5,0,0,0,43,0,0,0,0,2,0,0,0,0,0,0,1,3,2,3,1,5,9,0,7,0,0,0,7,0,6,6,2,0,0,1,0,2,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,4,5,11,0,1,1,0,0,1,4,0,0,0,0,0,1,0,0,1,1,0,2,0,14,0,0,0,0,0,0,0,1,0,1,0,5,3,0,0,1,1,13,1,0,10,0,0,0,1,10,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,3,2,0,0,3,0,6,0,1,0,0,0,0,0,0,47,0,10,0,0,3,1,0,11,0,0,0,0,3,1,0,0,0
30,0,0,0,0,9,6,6,1,0,0,48,0,0,2,0,2,0,0,0,2,0,0,2,9,0,1,1,0,0,1,4,3,2,17,1,0,0,1,0,0,0,1,0,1,0,0,3,0,5,6,0,5,1,0,0,1,1,5,0,0,2,1,0,1,0,1,5,0,0,4,64,0,1,0,1,0,0,0,0,0,2,0,0,5,2,0,1,0,11,6,18,0,12,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,3,2,0,2,0,2,0,0,0,0,0,1,8,14,0,2,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,1,0,1,7,0,0,0,0,2,0,0,0,0,0,1,11,14,0,0,5,0,17,5,7,10,1,0,0,4,16,0,2,0,0,1,0,10,0,2,2,0,0,0,0,3,0,1,2,0,0,6,5,22,0,0,0,0,0,4,0,0,1,0,0,0,0,2,39,0,7,0,1,0,1,0,6,4,0,0,0,1,0,6,1,0
31,0,1,1,0,8,0,3,1,0,1,10,0,1,0,0,9,0,1,6,0,2,0,0,3,0,2,0,0,0,1,0,0,0,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,33,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,5,7,8,1,0,0,2,0,8,0,9,2,1,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,11,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,32,8,0,1,0,0,1,0,0,3,0,0,0,8,24,0,0,1,0,5,2,0,9,0,0,2,1,25,0,5,0,0,0,0,3,0,1,1,7,0,3,0,0,0,0,0,3,0,0,1,2,11,0,0,2,9,5,0,0,0,0,0,0,0,2,33,0,16,0,1,0,2,6,17,7,0,0,25,0,1,4,0,0
32,0,1,0,0,6,0,4,0,0,0,29,0,0,0,1,1,1,2,6,0,1,0,7,7,0,0,4,0,0,0,3,0,2,16,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,3,8,1,1,0,0,0,3,0,0,0,2,4,0,0,0,0,1,0,0,5,72,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,14,18,12,1,6,1,10,0,5,0,2,8,0,0,0,1,1,0,3,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,2,2,14,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,4,7,0,0,0,0,0,0,0,1,0,4,1,8,2,0,0,0,0,0,5,2,5,0,0,0,4,17,0,17,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,3,4,0,0,0,6,1,1,0,0,2,4,0,0,0,0,0,1,0,7,50,0,26,0,2,1,5,0,13,6,0,0,4,2,0,0,1,0
33,0,0,1,0,6,0,1,1,0,1,21,1,0,4,0,8,2,6,9,0,0,0,3,4,0,0,0,0,0,0,0,0,2,11,3,0,1,0,0,0,1,0,0,2,0,0,0,1,0,5,10,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,1,1,6,68,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,22,3,8,1,7,0,4,0,3,0,5,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,6,1,0,0,0,0,0,1,1,2,16,0,4,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,10,0,0,2,0,0,0,0,0,0,0,0,7,4,0,0,6,2,5,0,0,7,0,1,0,0,28,0,21,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,16,2,0,0,5,2,1,0,1,0,0,0,1,0,0,0,0,0,0,2,37,0,20,0,0,2,4,0,16,1,0,0,7,5,0,0,0,1
34,0,0,0,0,4,0,8,0,0,0,45,0,0,2,0,6,2,3,5,6,0,0,3,4,0,0,4,5,0,0,1,0,3,13,0,0,1,1,0,0,1,0,0,2,3,0,1,0,3,0,4,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,4,0,2,5,54,0,0,0,0,1,0,0,2,0,4,2,0,0,4,0,21,1,19,2,22,0,2,0,4,0,4,5,0,0,0,0,0,0,2,0,0,3,0,4,0,0,1,0,2,0,0,0,0,0,0,1,16,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,1,0,0,0,0,4,0,1,0,10,0,0,0,4,0,11,2,3,6,0,0,1,2,21,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,35,0,17,0,0,1,0,0,6,2,0,0,2,0,0,2,0,1
35,0,1,0,0,3,0,12,0,0,0,89,0,1,1,0,4,1,0,1,1,0,0,1,1,0,0,0,2,0,0,4,1,0,19,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,3,44,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,19,4,260,0,9,0,1,1,1,0,2,0,0,1,0,3,0,0,0,1,0,0,0,3,4,2,2,1,0,0,3,0,2,0,21,8,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,2,0,1,0,9,1,0,0,5,0,8,2,0,1,1,0,1,1,12,0,3,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,6,1,1,0,0,1,2,0,0,4,1,3,0,0,0,0,0,0,0,2,27,0,11,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0
36,0,0,0,0,0,0,3,0,0,0,11,1,0,0,1,3,0,2,3,0,0,0,1,3,0,1,1,4,0,0,1,0,0,17,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,9,0,0,0,0,0,1,0,0,1,1,39,0,0,1,2,2,0,3,0,40,0,1,0,0,0,0,0,0,1,0,0,4,0,4,0,9,3,18,0,1,3,2,1,4,0,21,2,1,0,0,1,0,7,0,0,0,0,1,5,0,1,1,1,2,0,0,0,0,1,0,5,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,0,2,0,2,0,0,1,8,19,0,0,3,2,0,5,0,1,1,0,0,0,14,0,1,0,0,0,0,12,1,0,4,3,0,1,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,7,1,0,0,0,5,0,0,0,32,0,9,0,0,2,9,3,13,6,0,0,18,1,2,0,0,0
