"","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Brosimum.guianense","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"14",0,0,1,0,0,3,0,0,12,0,0,0,3,5,0,0,7,0,6,0,3,3,1,3,0,3,0,0,0,5,0,85,1,0,0,0,0,0,0,0,0,1,2,0,0,2,14,4,0,11,0,0,0,2,0,0,3,0,0,0,1,0,2,0,4,1,37,0,0,0,0,0,0,0,0,1,0,3,1,0,0,3,10,56,0,7,0,6,0,0,0,14,0,2,0,8,1,0,4,0,0,0,0,0,3,2,1,19,0,4,1,3,0,0,0,4,5,60,0,0,0,0,0,2,5,0,1,0,0,1,2,0,1,0,2,2,0,1,27,0,0,0,0,0,1,1,0,0,2,3,50,9,0,0,5,0,2,3,3,6,0,0,0,4,15,0,5,0,0,0,4,0,0,1,8,0,0,0,0,0,0,5,2,0,0,0,14,0,0,0,3,0,1,0,0,0,0,0,0,0,2,30,67,1,1,0,2,0,16,0,0,0,10,2,1,0,0
"15",0,0,0,1,0,3,1,0,17,0,0,0,2,4,0,0,0,0,0,0,6,2,0,0,0,4,0,0,0,0,0,71,0,2,1,2,0,0,0,0,0,1,3,1,0,0,18,3,1,1,1,0,7,6,0,0,0,0,0,0,2,2,0,0,0,3,33,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,20,62,6,5,0,15,0,4,0,2,0,1,0,1,2,1,4,3,1,0,0,0,1,2,1,30,0,0,0,0,0,1,0,0,4,63,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,1,6,2,13,0,0,0,0,1,0,1,0,0,1,3,60,13,0,1,1,0,0,6,0,2,0,0,0,2,7,0,1,0,1,0,5,1,1,0,2,0,2,0,0,4,0,1,0,5,0,0,10,7,0,0,0,0,4,0,0,0,0,1,0,1,7,41,41,0,0,4,15,0,26,2,0,3,3,4,4,0,0
"16",0,0,0,4,0,2,0,6,28,0,0,0,0,7,0,0,4,0,2,1,2,1,0,1,0,0,0,0,2,0,0,75,0,0,1,2,3,1,0,0,0,2,0,1,0,1,12,14,0,2,0,0,0,2,1,0,0,4,0,0,1,0,0,1,0,10,29,0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,8,73,0,9,0,7,0,5,0,4,5,0,9,0,0,0,3,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,1,66,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,18,0,0,0,0,0,0,2,0,0,1,1,69,35,0,0,3,1,14,0,0,1,0,0,0,0,20,0,3,0,0,0,8,0,0,0,1,1,0,0,0,0,0,3,2,3,0,4,10,0,0,0,1,4,4,0,0,0,1,0,0,0,7,19,52,0,0,5,0,1,25,1,0,0,3,2,1,0,0
"17",0,0,0,0,2,1,0,1,36,0,0,0,1,1,0,2,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,85,0,0,5,2,0,0,0,0,0,2,0,0,0,0,3,3,5,0,1,0,4,1,0,1,0,2,1,0,0,0,5,1,1,3,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,69,1,10,0,0,1,14,0,4,0,0,3,1,1,1,0,1,0,1,1,0,0,1,0,6,3,2,1,2,0,0,0,2,7,56,0,2,0,0,0,0,4,0,0,2,0,0,2,1,1,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,2,0,57,3,0,0,3,8,28,0,0,2,0,0,0,1,8,0,6,1,0,0,2,0,0,2,1,0,0,0,2,0,1,5,8,0,1,0,1,2,0,0,0,0,14,0,0,0,0,2,0,1,1,30,57,0,0,0,0,0,7,0,1,1,0,1,1,0,1
"18",0,0,0,1,4,0,0,0,3,0,1,1,2,1,2,0,5,1,4,0,0,0,0,1,0,0,1,0,1,8,0,62,0,1,0,0,0,3,0,0,0,0,4,0,2,2,3,1,4,9,0,0,0,0,0,0,0,3,7,0,0,0,3,1,2,1,36,1,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,73,2,5,0,0,0,6,0,9,0,3,0,1,4,0,1,0,0,0,0,4,3,0,0,4,0,3,4,0,0,0,0,7,5,68,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,16,1,6,0,0,1,0,0,0,3,0,0,11,0,0,0,4,0,0,0,0,0,0,0,5,5,4,9,2,0,0,0,8,4,0,0,0,0,17,5,0,0,1,0,0,0,6,16,66,0,4,0,0,1,0,2,1,1,1,0,0,0,1
"19",0,0,0,0,0,1,0,0,10,0,0,3,0,15,3,0,4,1,1,0,3,2,1,0,0,1,0,0,2,0,0,69,3,0,0,3,0,0,0,0,0,0,0,0,0,4,5,3,0,2,0,0,0,3,1,0,2,0,0,2,0,0,1,1,2,8,34,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,4,60,2,4,0,3,0,6,0,24,0,4,0,0,0,1,0,0,0,0,0,0,4,3,2,4,0,3,2,3,3,0,0,1,1,63,0,2,0,0,0,0,0,2,3,0,1,0,0,1,1,0,4,0,2,2,21,0,0,0,0,0,0,0,1,0,0,2,65,6,0,0,10,6,5,0,1,5,0,0,0,0,1,1,0,0,3,0,4,0,0,1,4,0,1,0,1,0,1,3,5,0,0,0,8,2,0,0,0,0,13,0,0,0,0,5,1,0,1,44,75,0,3,0,3,0,13,0,0,2,4,1,7,0,0
"20",0,0,0,0,2,1,0,0,8,0,0,0,2,4,4,1,0,0,1,0,0,0,0,0,0,7,0,0,0,4,0,71,1,0,3,1,0,0,0,0,0,5,0,4,0,0,17,2,1,0,0,0,1,2,1,0,5,0,0,0,1,2,0,0,1,1,22,4,0,0,0,0,5,0,0,0,0,0,2,0,1,2,4,66,8,5,0,2,0,0,0,12,0,3,0,1,6,0,9,1,0,0,2,0,2,0,0,17,1,0,0,7,0,0,0,0,2,51,0,2,0,0,2,1,16,0,0,0,0,0,1,0,1,0,0,0,2,9,12,0,0,0,0,1,2,0,0,0,0,1,58,11,0,0,1,3,0,8,0,5,0,0,0,6,15,0,4,0,0,0,8,1,0,0,7,0,0,1,0,3,0,1,1,0,0,1,9,2,0,0,0,0,7,0,0,0,0,0,0,0,7,31,63,0,0,3,4,0,18,3,0,0,4,2,2,0,0
"21",0,0,0,0,0,2,0,0,11,0,1,0,1,1,0,3,4,1,2,0,2,3,0,6,1,0,0,0,1,0,0,61,5,0,2,1,0,0,0,0,0,1,0,0,0,0,6,6,0,1,0,0,4,3,0,0,0,7,0,0,0,1,2,2,0,2,17,0,0,0,0,0,0,0,0,1,0,0,3,6,0,4,12,59,0,4,0,4,1,1,0,19,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0,3,0,2,0,0,1,0,0,0,1,66,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,13,12,0,0,0,0,0,0,0,0,0,0,0,60,42,0,1,1,0,15,2,1,7,4,0,0,0,18,1,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,2,0,1,0,3,7,0,0,1,0,0,6,0,0,0,0,1,0,0,0,27,62,4,0,1,9,4,12,12,0,13,7,3,0,0,0
"22",0,0,0,1,1,4,0,2,27,1,0,3,0,4,1,0,6,2,2,0,0,10,0,1,1,0,0,0,1,1,0,66,0,0,2,3,0,0,0,0,0,0,0,1,5,0,4,5,11,0,0,0,0,0,0,2,0,2,0,0,0,1,2,0,1,3,54,0,0,0,0,0,0,0,0,2,0,0,3,1,3,4,8,59,0,9,0,3,1,13,0,9,2,1,0,2,2,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,2,1,54,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,2,1,0,0,1,0,1,0,0,0,0,69,3,0,0,4,0,14,0,2,9,0,0,0,0,10,0,11,0,0,1,5,0,0,0,0,0,0,0,0,1,0,8,6,0,3,0,11,2,0,0,0,1,9,0,0,0,0,0,0,0,2,59,50,2,0,1,0,0,5,0,0,0,3,2,1,0,0
"23",0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,15,0,1,1,0,0,0,3,0,1,0,0,0,8,0,51,5,0,7,2,0,0,0,0,1,1,1,1,0,0,5,13,3,0,1,0,0,2,0,0,0,0,7,1,0,2,3,0,0,2,29,0,1,1,0,0,0,0,0,1,1,0,2,5,0,3,1,54,0,3,1,8,0,2,0,15,7,8,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,6,63,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,22,0,0,0,0,0,0,1,0,0,1,2,65,1,0,0,12,0,2,0,2,3,0,1,0,10,8,0,0,0,0,0,1,0,1,0,3,0,2,0,3,0,1,3,7,0,0,5,3,0,0,1,8,0,9,3,0,0,0,1,0,0,1,28,81,0,3,0,1,0,5,1,0,0,0,0,0,0,0
"24",0,0,0,1,0,0,0,1,20,0,2,1,0,8,1,0,10,0,3,0,17,4,0,1,0,2,0,0,1,1,0,52,0,0,1,6,0,0,0,0,0,1,1,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,1,23,0,0,0,2,0,0,0,1,1,0,0,11,0,0,8,3,43,7,6,0,3,0,3,2,21,0,1,0,0,0,0,1,3,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,9,2,62,1,2,0,0,0,0,4,0,1,0,0,2,0,0,1,0,1,0,0,1,27,0,0,0,0,0,0,1,0,0,3,0,64,5,0,1,2,0,4,0,2,7,3,0,0,0,12,0,6,0,0,0,3,0,0,0,3,0,1,0,0,1,0,4,2,0,1,0,11,4,0,0,1,1,14,0,0,0,0,2,0,0,1,34,53,0,0,3,3,0,14,1,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,14,0,2,0,0,7,0,3,12,0,2,0,4,3,0,0,1,2,0,0,1,2,0,82,0,0,2,0,0,0,1,0,0,0,2,1,0,0,4,4,0,2,0,0,2,17,1,0,0,2,0,0,0,0,4,3,0,4,36,0,0,0,0,0,1,0,3,3,3,0,2,2,0,4,1,73,4,15,3,4,0,2,0,23,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,7,0,0,1,1,0,3,0,1,2,67,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,0,1,1,0,0,0,0,1,0,2,2,66,5,0,0,11,0,0,6,1,7,0,1,0,0,22,0,5,0,1,0,11,0,0,0,4,0,1,5,1,2,0,1,1,3,0,0,5,1,0,0,1,3,9,0,0,0,0,0,1,0,7,30,56,0,2,0,0,0,10,5,0,0,3,2,1,0,0
"26",0,1,0,0,0,5,0,0,3,0,0,0,0,5,1,0,5,0,3,0,3,4,0,0,0,0,0,0,1,2,5,69,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,7,1,0,1,0,0,0,0,0,33,1,0,0,1,1,0,0,0,2,0,0,1,0,0,3,14,67,0,8,0,6,1,6,0,20,3,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,2,1,3,80,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,25,7,0,0,0,0,0,0,0,4,1,0,1,61,28,0,0,3,0,12,3,0,3,1,2,1,2,25,0,5,0,0,1,4,0,0,1,4,0,0,0,0,0,0,1,5,0,0,1,2,3,0,1,0,8,4,0,0,0,0,0,0,0,1,19,62,2,1,0,5,2,13,13,1,12,1,1,0,0,0
"27",0,0,0,1,1,3,0,2,10,0,0,0,0,6,0,0,4,0,1,1,0,4,0,3,3,0,1,0,1,0,2,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,1,3,52,0,0,1,0,0,0,0,0,1,2,0,3,0,0,4,4,60,0,1,0,1,0,1,0,3,0,0,0,1,3,0,2,2,0,1,4,1,1,0,1,4,0,1,0,0,0,0,0,4,0,56,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,3,0,0,13,0,0,4,0,0,0,0,4,2,0,0,54,8,0,0,5,1,10,0,0,4,1,0,0,2,16,0,11,0,0,1,14,0,0,0,0,2,2,0,0,0,0,7,8,1,4,0,9,3,0,0,0,17,14,0,0,0,0,2,0,1,2,22,58,0,1,8,0,0,9,1,0,10,0,0,1,0,0
"28",5,1,1,0,0,4,0,0,14,0,3,0,0,9,0,3,1,0,0,0,6,7,0,2,0,3,0,0,1,5,1,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,76,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,3,61,0,9,0,7,0,2,0,6,0,5,1,0,0,0,2,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,2,0,68,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,8,0,0,0,0,0,0,0,0,0,2,2,68,0,0,0,0,0,6,3,2,1,0,0,0,0,18,0,6,0,0,0,11,0,0,1,0,0,1,0,0,1,1,5,0,0,5,0,7,8,0,2,0,0,13,0,0,1,1,1,1,0,0,47,60,0,0,1,0,0,13,0,0,0,0,0,0,0,1
"29",0,1,0,0,0,1,0,0,21,0,1,3,0,5,0,2,0,2,0,0,11,2,0,0,0,0,0,0,0,2,0,75,1,0,0,0,1,0,0,0,0,2,0,0,0,1,2,4,1,1,0,1,3,6,0,0,0,6,1,1,2,0,4,1,0,2,47,0,0,0,0,0,0,0,0,2,0,0,2,3,2,2,5,53,0,5,3,1,0,4,0,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,52,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,58,0,0,0,1,1,16,4,0,5,0,0,0,2,17,0,6,0,0,0,3,0,0,1,0,0,1,0,0,3,0,8,2,0,0,0,2,0,0,0,0,0,8,0,4,0,0,0,0,0,0,51,57,0,0,9,8,0,13,2,0,0,3,1,0,0,0
"30",0,0,0,14,1,10,0,0,36,0,0,3,0,6,3,1,1,1,0,0,2,5,0,0,0,0,0,0,3,5,0,62,1,0,1,1,0,0,0,0,0,0,0,0,4,3,3,1,2,1,0,1,0,1,0,0,2,4,0,0,0,1,4,0,0,7,56,0,0,0,0,0,0,0,0,1,0,0,2,4,0,2,2,55,4,22,0,8,0,0,0,3,3,0,0,1,0,0,3,1,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,5,73,0,1,0,0,0,0,10,1,0,0,1,0,0,0,0,0,3,3,0,0,15,0,0,0,0,11,0,1,0,0,0,2,72,7,0,0,2,0,9,4,3,5,0,0,0,3,10,1,1,0,0,0,4,0,2,0,1,0,0,0,1,0,0,5,0,0,0,5,21,5,0,1,0,0,2,0,0,1,1,0,0,0,5,28,63,0,0,1,1,4,10,5,0,0,0,0,7,0,0
"31",0,0,0,8,0,6,0,0,10,0,0,0,0,3,0,0,1,2,1,0,2,0,0,4,0,0,0,0,1,0,3,73,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,6,34,0,0,2,0,0,0,0,0,0,0,1,6,0,0,9,8,74,1,1,1,3,0,8,0,17,2,2,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,4,63,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,0,0,0,1,0,1,0,68,22,0,0,4,0,1,0,0,6,0,0,0,2,21,0,12,0,1,0,3,1,2,0,7,0,3,0,0,0,0,1,1,0,0,3,0,12,0,0,3,8,5,0,0,0,1,0,0,1,0,27,57,1,2,0,1,4,17,7,0,22,0,2,2,0,0
"32",1,0,0,7,1,4,0,1,22,0,0,0,0,3,0,3,3,0,0,0,6,5,0,0,1,0,0,0,4,2,1,74,0,0,0,0,0,0,0,0,1,2,0,0,1,0,4,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,1,1,2,41,0,0,0,1,0,0,2,0,5,0,0,1,2,0,6,12,68,1,9,0,11,0,6,0,7,11,1,1,0,1,0,0,2,0,0,0,0,1,0,0,7,1,0,0,1,0,0,0,5,0,59,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,7,0,0,0,0,0,0,0,2,0,8,3,59,3,0,0,1,0,1,2,0,2,0,0,0,5,22,1,15,0,0,0,4,0,0,0,0,3,1,0,0,2,2,2,2,0,0,2,4,0,0,0,0,1,7,0,0,0,0,0,0,0,7,52,72,0,1,0,6,0,20,5,0,2,3,0,3,0,0
"33",0,0,1,5,1,5,0,1,21,0,0,1,0,11,1,7,13,1,0,0,4,4,0,0,0,0,0,0,0,0,0,70,1,1,2,1,0,0,0,0,0,3,2,2,1,0,6,12,0,0,0,0,0,0,7,0,0,1,0,0,0,0,3,1,1,6,50,0,0,1,1,0,0,0,0,0,0,0,3,1,2,28,4,53,0,3,0,3,0,2,1,11,1,0,0,0,4,0,0,0,0,0,0,1,1,0,1,7,2,0,0,0,0,0,0,0,2,63,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,1,0,0,1,72,3,0,0,3,1,5,0,0,6,0,0,0,0,26,0,19,0,0,0,1,0,0,3,0,1,0,0,0,0,0,14,3,0,0,7,2,0,0,0,0,0,2,1,1,0,1,0,1,0,3,32,57,0,1,4,8,0,14,4,0,8,5,0,0,0,0
"34",0,1,0,2,0,1,0,0,60,0,0,0,0,4,1,6,2,12,0,0,4,7,0,0,10,11,0,0,1,0,3,63,3,0,0,1,0,0,0,0,0,1,3,0,1,4,0,7,0,0,1,0,0,3,1,0,0,1,0,0,0,0,4,0,3,8,54,0,0,0,0,0,0,2,0,4,2,0,1,9,0,20,1,67,3,20,0,0,0,5,0,3,4,0,0,0,1,0,0,3,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,0,0,68,4,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,4,1,1,0,67,0,0,0,4,0,17,6,1,3,0,0,0,1,13,1,18,0,3,0,2,0,1,2,0,0,1,0,0,1,1,16,1,0,1,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,29,80,0,0,1,0,0,13,0,1,1,1,0,6,0,0
"35",0,0,0,4,0,10,0,0,83,0,0,0,0,6,2,0,4,1,0,0,1,0,0,4,1,3,0,1,3,0,0,50,0,0,1,1,0,0,0,0,0,2,0,1,0,0,4,4,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,1,0,12,40,0,0,0,0,0,1,0,2,5,0,0,1,1,0,3,0,79,6,251,0,6,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,0,2,4,3,0,0,0,0,1,0,2,2,65,7,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,1,0,0,4,0,1,0,0,0,0,2,1,0,1,0,69,0,1,0,5,0,7,2,1,0,3,0,1,4,9,0,7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,23,62,0,0,0,0,0,9,0,0,1,0,0,4,0,0
"36",0,0,0,0,0,2,0,0,6,0,0,0,1,1,0,4,2,0,0,0,3,3,0,0,1,2,0,0,3,0,0,70,0,0,2,0,0,0,0,0,0,2,0,0,3,0,16,5,0,0,1,0,1,0,0,0,0,35,0,0,4,0,1,0,3,1,37,1,1,0,0,0,0,0,0,0,0,1,5,2,0,7,14,62,3,0,3,0,1,5,0,21,2,1,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,59,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,22,0,0,0,0,0,2,1,2,0,0,2,56,11,0,0,5,0,2,7,0,4,1,0,0,0,7,0,1,0,0,0,6,0,0,4,1,0,0,0,0,0,1,2,3,0,0,2,1,2,0,0,0,0,5,1,0,0,0,4,0,0,0,33,55,0,1,3,11,1,17,7,0,24,1,0,0,0,0
"37",0,0,0,1,1,1,0,0,27,0,1,1,0,6,0,1,0,0,0,0,0,2,0,2,0,2,0,0,0,1,0,87,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,17,0,0,0,0,0,3,0,0,0,21,0,0,2,1,3,0,0,4,70,0,0,0,0,0,1,0,1,3,1,0,2,2,0,27,3,64,0,1,1,5,0,3,0,6,3,5,3,1,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,51,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,2,1,4,0,59,5,0,0,4,0,1,3,0,4,0,0,0,2,14,0,0,0,0,1,6,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0,0,10,0,1,0,0,0,0,0,3,32,61,0,0,3,3,3,11,2,0,2,5,0,4,0,0
"38",0,0,0,8,0,5,0,0,32,0,0,0,1,1,0,1,0,0,0,0,5,7,0,2,0,1,0,0,0,1,0,72,0,1,1,0,0,0,0,0,1,1,1,0,0,3,3,9,0,1,0,0,0,1,0,2,0,15,0,0,0,0,2,0,0,4,79,3,0,0,0,0,1,0,0,2,0,0,9,1,0,8,4,61,2,10,0,2,0,15,0,0,1,1,0,0,0,0,2,2,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,70,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5,0,1,10,0,0,0,0,0,0,0,0,1,0,0,76,1,0,0,2,0,5,2,0,18,0,0,0,1,20,0,7,0,0,0,2,0,0,3,3,0,0,0,0,0,0,7,1,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,71,57,0,0,0,2,0,12,0,0,1,1,2,3,0,0
"39",0,0,0,8,0,2,0,3,39,0,0,0,0,5,0,1,0,3,0,0,10,4,0,0,0,4,0,0,4,0,1,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,2,0,1,0,0,1,0,0,1,0,10,0,0,3,41,1,0,0,0,0,0,0,0,6,1,0,8,3,1,9,3,80,4,20,0,2,2,14,0,7,1,0,0,1,0,0,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,61,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,49,0,0,0,8,1,8,1,0,12,0,0,0,0,20,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,8,1,1,0,2,6,2,0,0,0,0,4,0,0,1,0,0,5,0,0,85,75,0,0,1,0,0,8,2,0,0,2,2,0,0,0
